ll,T_NDH,T_ND,T_AltNI,T_UstOOA,N_Anc,N_AMH,N_Yor,N_Ust,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-86.71204045131446,753728.9502206213,653952.1972182926,110000.00000003703,55756.34700502408,16512.14622543861,25415.673291668987,114864.22460185167,665.2831999493355,3737.708745652988,3846.6656770322174,2415.67499421439,271994.04360847507,0.10001671469304267,0.02085078002449439
-88.9128140566624,722911.0439371824,641399.3627254132,110000.00000000012,54337.65053562774,16981.833462288472,24646.017549871296,100618.94117759318,567.0542023202215,3124.9619185448455,3799.562183718911,2164.0138118729983,239868.05132263387,0.09450227066581952,0.020939995045212417
-138.7591419213525,593255.8661082223,543172.594979554,110000.00000000012,55926.399290358495,18946.02262353498,20712.189675086,74976.46188366665,644.7508869945939,2072.867246216037,3363.694402313951,1926.5044979637657,232021.10372577087,0.10080448999903366,0.02136762774198233
-95.85162424206707,701445.2736866276,650288.312892044,110000.00000000012,53119.86115601011,17294.599537788803,24144.205919522792,93980.32953399389,483.4398442034743,1988.5103845702515,3839.230435151871,1935.344616402264,207470.1412261294,0.08370470339240504,0.02135414837643267
-88.26356734115991,722240.778679265,645508.3949773988,110000.00000000012,54384.29047483521,16989.583373885438,24623.394098225323,119557.73278629858,569.6281623607142,2941.059687793656,3818.5373605037453,2226.206066634477,243780.25114124783,0.0929903027079219,0.021261346465703997
-112.58037994713935,644087.5999849545,566496.280787479,110000.00000031783,52998.79429758318,18201.853802005848,22355.134251485946,83091.30426346122,469.142249257844,2935.4598220414164,3505.8049038598506,2527.0465098717823,349999.9999237729,0.14870426873056244,0.02118743082317492
-117.53216208934367,712445.5370283056,471003.26431286294,110000.00000000012,51052.87056825254,17175.082553180164,24393.540594314196,104168.37296707949,355.33623314989114,9680.784181971096,2975.3995960103916,2343.420250751503,349999.99999999074,0.13424051746755472,0.021441988451388845
-112.22337165844496,628859.724511915,609515.8634437755,110000.00000000831,51123.84153557336,18423.803467976013,21991.274208598523,69634.69132196765,353.928533303507,729.4285673229538,3695.6627605837716,2373.295274399015,305726.0118442681,0.13413415306433146,0.021186528278376273
-118.06221514167044,617274.4545552551,612503.4228479037,280301.87225122756,50487.56512110033,18593.081664938785,21444.339986649968,140721.61458549812,299.40069950944047,182.0564331969133,3720.975471899045,2443.2370178061833,303285.1795536441,0.12076842454845077,0.03159233529416093
-117.99584230476137,683397.462058079,488490.19318038935,110000.00000000012,50480.19408353331,17605.883273828505,23625.757045312526,95433.08927875505,318.133886659502,7892.571955858945,3075.596868711818,2382.414845350647,344671.1809721783,0.13107374396858745,0.02177455672932202
-106.03161139410307,699181.1935570401,613903.969516916,110000.00000000012,49438.795302513114,17352.271860296638,24205.626976617008,80438.2301074355,259.49382404550875,3348.671927628521,3690.5981052817046,1799.7869491967822,208468.58069385047,0.09280561248230151,0.018933285338516542
-86.83443276626858,753272.8290677787,650660.7186321085,110000.00000099176,55177.294375027974,16517.948570459816,25447.58034255681,114147.64581854746,627.7315244817663,3851.9670169964643,3834.877671008772,2466.412677507528,279676.3821919373,0.10083326189665542,0.02088365129862636
