ll,T_NDH,T_ND,T_ChaNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-86.34279147147086,701489.3905082615,616219.1783506053,80000.00000119323,47000.000000067485,17402.50199176461,23889.469994758445,110344.54407579942,1104.3804119137733,3498.354144504078,3659.903892000468,1990.2274711569698,208780.4824986172,0.07749670138168518,0.021883858706175405
-83.75612255872934,703200.2676661332,646186.9995384209,80365.27558289864,47000.00000000002,17368.762892989733,23946.006146821088,107374.83978935657,1103.9606937354513,2312.501591525554,3781.0625603244134,2041.8776658890554,211217.75979271336,0.07602154253184394,0.021913260356811657
-79.85108457797413,724497.8418803571,669219.1325781767,80000.00000081508,52790.82327542187,17044.40895263579,24272.593808270976,137719.2713507478,1269.5049525186823,2183.4613634517113,3871.1054195113975,2040.498940151752,209479.02354676538,0.0759238308449149,0.021516477422948772
-75.7663461458788,762388.5129521894,686029.1604338931,99181.65485753011,47000.00000000002,16460.044508195213,25548.79498447117,148874.90238368887,1108.077293883068,2961.021117744517,3934.820889511597,2294.5581870063766,236289.7115096435,0.07553150997748596,0.022227596129345096
-96.58680378558785,693076.1691903233,587240.265376291,196610.98378014044,47000.00000000011,17545.482278029816,23516.470354869845,117610.10713795463,1100.2295343093724,4200.7090356354265,3548.7074706159406,2549.192347673565,349994.66925138433,0.11791987978947548,0.02471578405524569
-96.88445788160706,672592.7139569119,622589.2545436098,151069.64332180133,47000.000000000524,17849.39578130291,22984.00705402689,95724.63988170338,1099.4144317940095,1961.4775217947936,3705.883096757506,2514.122874443291,325029.77203200053,0.11125561343648116,0.023577137027280228
-100.22225977812619,662065.7619966721,595112.5060083433,141824.51089022335,47003.907642854414,18052.94437668899,22708.859907727667,102480.45617935272,1099.8233958894903,2770.424376869985,3577.116061745195,2121.481246613004,237981.81995089044,0.08721558755762861,0.02380644521492445
-99.88402511813608,677915.224403758,596899.7095532776,80000.00000004726,47000.000002159126,17751.868799166736,23239.78940212896,106896.12846001239,1102.3748733378388,3415.3336072027355,3568.4190839196513,1619.099367119733,167253.05547654245,0.06975816623597438,0.022020734220157708
-109.69830863292171,931061.0118662628,792881.046582125,80000.00000009303,47000.00000001338,13838.460572777098,29536.597640144442,276475.014056144,1122.5729194442322,4598.676406030025,4244.123368426949,2499.7978678848385,270858.0628315288,0.0838262527099233,0.02031386531341607
-89.36956963170734,764179.0783902097,594337.570001352,181126.46684905657,47000.00000000002,16463.052531339665,25425.12038835474,142009.10088797376,1107.719031748307,6517.651857461619,3566.4094957353377,2516.1230841628253,349999.9999999995,0.1202742385837661,0.0231196450213967
-80.13596873516167,755863.2733566586,624959.1244014801,80000.00000000023,47000.00000000002,16589.353205674746,25314.82728919496,118308.79135374968,1111.8713732918786,5180.105868633506,3693.5989980827962,2083.406236837384,234933.23256611766,0.09084274431101258,0.020755240268967287
-146.36570533932505,589598.7423284295,550056.6892148469,173494.33891042613,52044.52021165829,19105.531577352074,20239.614237224272,82772.56582808917,1228.0698296529206,1581.3813770104255,3385.47856111766,2413.9885214232195,349999.9976841495,0.14027860777875542,0.02467953549304423
-75.19814673268026,769131.0108514731,698631.2094273234,80000.00000000649,47000.006816208996,16356.866226515092,25736.678814728442,148659.4470279869,1109.8881700274706,2712.577415675076,3975.9580245759844,2090.8330742934686,208968.1019158275,0.07266579832731346,0.021595562538065532
-75.03151916605427,776099.8353449503,687971.0796339919,80000.00159735276,48753.9393538705,16255.719297276291,25820.887022730712,152470.56855241396,1160.7692186748848,3381.798255751573,3938.7728748772033,2196.4900314420756,228384.2390308296,0.07812386450539582,0.02132830203625853
