ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex
-339.11214732379034,-0.8026336352130408,676.6190273771546,0.0,0.0044379008000578,3.002768122931413,0.0831223844714287,0.0690482674979846,46.71937159656393,8.191558542591793e-12,14362.23122025386,4267.147310780362,17133.582627565444,14858.7034969437,4793.097426730142,15293.928354175703,28145.94323953029
-185.56365048802968,-1.9613241005078543,367.20465277504366,0.0,0.0070007282129675,2.5706999726152007,0.1088595536746591,0.0666441329805182,24.47203571060503,7.539623133601125e-07,15080.150646561064,5139.509405504923,19762.8486200106,15318.789944229637,5159.310064685946,16297.259852658197,28421.31204042635
-531.3696648977088,-1.23063224000595,1060.2780653154057,0.0,0.0044807210322309,4.750810227271873,0.0292845028176588,0.073242216170615,77.65711526079247,0.0,14490.95445101528,5033.932373259597,23953.30764282472,14909.089908299467,5307.02507372961,16643.100316169493,36138.49893295189
-605.3669647407847,-0.9215412654223104,1208.8908469507248,0.0,0.0028762944006062,3.477125974028527,0.0622227190289119,0.0701412108242493,84.79306775947616,0.0,14835.31739062417,4186.16056148238,16532.651481976063,15170.40276718788,4647.078592216761,13647.765895097156,30475.283232092694
-393.4354875740168,-1.3079633933286317,784.2550483613762,0.0,0.0039285438367375,3.080980336670424,0.0792127670408291,0.0690955141667863,54.18850580442717,1.8218759834098821e-13,14966.271346238986,4860.058191971059,21888.870745953154,15636.167745785217,4747.820030955992,15312.919708691268,29585.017923342763
-563.0682489814403,-0.7692854276783019,1124.597927107524,0.0,0.0039550659962455,4.447859020951212,0.0349450314129903,0.070073391067094,78.8043903394489,0.0,14672.109018892275,4817.945279603463,22228.31371263437,15030.133360994974,5133.123989245178,14677.313609409512,31141.0823871618
-563.7247282899824,-0.7187315851607989,1126.0119934096433,0.0,0.0037714827864371,4.2467348504662,0.0393258711529511,0.071858726387293,80.91378774323398,0.0,14631.058680002308,5037.365851495912,22456.706366023795,15404.487600622842,4928.4604585848765,14167.832461423364,29252.881772056757
-778.7552824882857,-2.568174546290418,1552.3742158839907,0.0,0.0024093112235541,3.740152621485308,0.0531195929993633,0.0715515114568584,111.07472149315495,0.0,14380.840702444224,5035.027830637969,21852.49488303563,15214.348219232985,5467.827828804788,16320.805777839463,35530.56267366046
-377.9339823499392,-0.9808003514950628,753.9063639968883,0.0,0.0032216304118582,2.428807669945841,0.1191234755494496,0.0689076558647473,51.9499202845405,5.693223670277803e-13,14916.171202671583,5001.70264411112,17684.033109275548,15031.898386304843,5278.601681512877,15497.23875465542,27756.691366517505
-515.8124525158165,-0.931280390191698,1029.7623442512495,0.0,0.0026741854601911,2.7537754884490155,0.0970250761068852,0.0698106260933693,71.88835397955543,0.0,15124.21417772661,4453.338932105264,17575.28522183788,15288.586487764163,5123.986211517358,16100.291924650486,30460.54473212264
-439.3460645432029,-0.8967391400576202,876.8986508062906,0.0,0.0045993419439801,4.0331567452729695,0.0446143871560138,0.0720062908054515,63.142219256865886,1.887379141862766e-15,14663.054258684071,4806.9780110988,21149.5026156154,14904.785088542529,5267.651976791711,16288.49290043932,33264.54587188171
-350.6350232085181,-0.9797990153925952,699.310448386251,0.0,0.0045905653773351,3.210230332370648,0.0731791810201113,0.0695318714025758,48.624364167670485,3.099964729358362e-12,14265.607406729256,4782.4634136772565,18118.44390982728,14780.727115459886,5090.719908885878,14609.713495381638,26745.51816070329
-573.989537811849,-0.9970519775532778,1145.9849716685917,0.0,0.0026595284298465,3.047779612329526,0.0808476041774747,0.069617994865086,79.78117587308981,0.0,15042.51538442836,4327.637813366964,16492.83570132778,15188.415871672723,4928.757619447084,14657.34905139972,28902.46738942554
-526.6253801127253,-0.8237306777410089,1051.6032988699687,0.0,0.0030222998223107,3.1782604633160902,0.0746241352399278,0.0691572477720486,72.72598989785415,0.0,14453.625170888805,5172.731544817746,20616.20536567154,14668.865627537154,5283.031863346521,15810.464823102462,30119.349907608277
-1043.629458092351,-4.678235062477297,2077.902446059747,0.0,0.0014121344296756,2.934277585588307,0.0867174485644716,0.0728187161208442,151.31018834643254,0.0,14504.799072106664,3884.724278975813,14701.653462532877,15291.483426311852,4981.124572259259,15282.620507393323,32716.981071751237
-265.11793275529925,-2.8137602891120097,524.6083449323745,0.0,0.00591673947101,3.1039709012826493,0.0781015760797291,0.066599809372415,34.938815767674285,3.402300996491192e-09,14847.779308596098,5225.856009845699,20861.194197844376,15056.39736973466,5546.601849127945,16539.110645348625,29525.32156085379
-570.665101025581,-1.403360274020883,1138.52348150312,0.0,0.0050584203700144,5.7591303705751375,0.0164031884793786,0.0697483569515659,79.41014218561922,0.0,14602.994067656356,3981.787865347924,18160.194077915632,14995.416178262343,5035.985209340933,12907.793977481391,31355.86317729809
-737.3957384251491,-2.453359440419262,1469.8847579694598,0.0,0.0020103815269417,2.955029164155044,0.0856107618299549,0.0721204579536612,106.0087618838639,0.0,14023.744233311674,5317.500651632602,20863.584101307417,14554.534904765687,5095.436684618848,15368.7126143511,31640.35774479625
-370.5560058464801,-0.3917717788282614,740.3284681353035,0.0,0.0063890188511,4.729972538922448,0.0296413585271834,0.0695733285376938,51.50711573938504,7.134293156241256e-13,15333.330688611795,4862.695243453455,20852.342574601116,15159.23490608421,5186.937180921207,14423.74897062092,31517.17935857856
-341.1801566286579,-1.3618309530522568,679.6366513512113,0.0,0.004023428737144,2.7344696338628185,0.0982040991363728,0.0692325906923242,47.05300610250031,6.909250949149737e-12,14444.13829430825,5271.997248287101,20353.22202389691,14994.259180728695,4705.516226879695,14695.052637607649,27058.79744735147
-590.1587050210524,-1.9968233667285296,1176.3237633086476,0.0,0.0033512849938679,3.942196175906541,0.0470892640528108,0.0717156235982049,84.36079223906695,0.0,14352.90601497057,5707.984932359513,24780.03944827793,15051.45485798589,5077.812015473452,15353.77285086177,33332.20662404458
-436.030882963746,-0.7755675137864115,870.5106308999192,0.0,0.0033666886088733,2.930738224953929,0.0869077444510453,0.0683499411020899,59.49935035075262,1.2212453270876722e-14,15710.384301327706,5229.910299028294,21551.26526108282,15924.790195182442,4895.186641113057,15288.660451752346,29725.83200562476
-606.2728454337721,-0.533692733347474,1211.4783054008492,0.0,0.0034712590024649,4.2053549739136535,0.04029653962349,0.0754621315058858,91.4207351986866,0.0,13872.94050728296,4605.231052951042,19715.75914069413,15086.399612239562,4852.477545125499,14778.490588813507,29852.368529530268
-790.265584279389,-1.592866602869142,1577.34543535304,0.0,0.0027953756345188,4.409272997205385,0.035744071281761,0.076729191148333,121.02843941615404,0.0,14768.806897383362,4602.767477013968,22122.21445878953,15451.694777686624,4798.317496135647,14984.739214667296,30808.405716372
-559.177446680866,-1.3163120765463527,1115.722269208639,0.0,0.003607990483822,4.025515329893095,0.0448169260203886,0.0729785301212919,81.42377123043886,0.0,14276.88251869145,5090.890950708051,23159.28024463756,14940.861441689804,4960.56286021433,15072.237808683536,30941.280526988237
-699.6451743946343,-1.8100320712768492,1395.670284646715,0.0,0.0028539834013658,3.983219826161239,0.0459556371802628,0.0712219196001303,99.40231680139934,0.0,14278.49771935772,4829.911148552778,21929.12257317137,14638.816774775818,5000.731456123168,15335.637818314295,31879.522517965725
-813.5888250668249,-2.170967899198287,1622.8357143352532,0.0,0.0018134062517457,2.9428604299318533,0.0862578571801226,0.0688309656697,111.70134934097293,0.0,14320.083859369635,4799.990146678669,16777.342502851225,15063.28599896468,5490.091483979128,14694.882623942733,31255.58319831715
-346.5079117684855,-0.8942583970634707,691.227306742844,0.0,0.0047243905933866,3.265627785867849,0.070745939197225,0.0707313852314477,48.891464915724185,2.705280444104119e-12,14942.705011605787,5112.062436938654,19718.96671030974,14833.330926630992,5303.944949938624,16247.290582191892,29525.11620580558
