sample,ll0,ll1,score
0,-19.28833449350921,-19.28959988559076,0.0
1,-20.99416770895155,-16.97822324305212,8.03188893179886
2,-15.90947737465017,-15.142219705444102,1.5345153384121346
3,-23.635265359378614,-23.63527448260839,0.0
4,-13.459370162342813,-12.685809917268935,1.5471204901477549
5,-16.078110214904008,-15.91891913603058,0.3183821577468571
6,-18.346193677562,-18.34621643549677,0.0
7,-17.49771022927736,-17.4674096751001,0.060601108354518374
8,-15.970558410326117,-15.889798218557171,0.16152038353789067
9,-9.65235337598569,-9.65129464250917,0.0021174669530417134
10,-14.632241753754126,-14.632248569729182,0.0
11,-21.69644740366683,-18.11871558708181,7.155463633170044
12,-21.23689631292177,-21.14590048091181,0.18199166401991818
13,-17.182634925690536,-17.037599222113077,0.29007140715491886
14,-17.346502407818242,-17.346574673781557,0.0
15,-15.890695410424568,-15.890314226348377,0.0007623681523831749
16,-17.00129071453994,-16.887826142900032,0.2269291432798184
17,-15.29212784486056,-14.93915492739131,0.7059458349385004
18,-27.95406346327534,-20.536838123394624,14.834450679761432
19,-13.04183855430502,-12.986400176820696,0.1108767549686469
20,-16.317156650637997,-16.24349158414086,0.1473301329942771
21,-17.32100298121189,-15.52660694546366,3.58879207149646
22,-12.37543959905688,-12.273270672680084,0.20433785275359284
23,-14.141675762131054,-14.036712983809352,0.2099255566434053
24,-12.54155299562274,-12.180468054235453,0.7221698827745726
25,-21.807640753819744,-21.80765055862098,0.0
26,-15.63363812725304,-13.19752018821148,4.872235878083121
27,-28.122041538354864,-28.122042283162276,0.0
28,-20.692122713005485,-20.758497088446124,0.0
29,-13.330345680808708,-13.330407373285462,0.0
30,-16.020762043018735,-16.020821145295013,0.0
31,-20.604069241881174,-20.60410179900571,0.0
32,-21.104596086619445,-21.10335465232354,0.0024828685918123483
33,-15.10110580227665,-15.076048015192312,0.05011557416867518
34,-12.682042581906195,-12.776802257868573,0.0
35,-19.567748724876363,-19.56604084086324,0.0034157680262438816
36,-19.456604309064147,-15.354496761088448,8.204215095951398
37,-22.22110481391019,-21.6833226813178,1.0755642651847808
38,-18.05464471094828,-18.054714225308437,0.0
39,-22.223177631946136,-20.718019672228152,3.0103159194359677
40,-18.209030245435198,-18.209175307453,0.0
41,-27.97072491694496,-27.970784983690077,0.0
42,-28.79460743484239,-28.79483471567272,0.0
43,-18.20058656736739,-18.20059149410038,0.0
44,-19.52491186725175,-19.523833628986477,0.0021564765305441824
45,-19.531474750796395,-19.531485169573248,0.0
46,-17.335790736558884,-16.20431039143978,2.2629606902382093
47,-31.77772011016936,-31.778148801697583,0.0
48,-19.729221538189,-19.729356837668877,0.0
49,-20.63810167780373,-18.691900240678077,3.892402874251303
50,-22.3525939477436,-22.352795962704118,0.0
51,-17.649070206097043,-17.648865116807,0.0004101785800898483
52,-25.139257187779616,-11.049646738017886,28.17922089952346
53,-12.093869615983504,-11.824361298477005,0.5390166350129988
54,-28.2025678872079,-20.36798176464808,15.66917224511964
55,-19.27694665599693,-19.27694878463941,0.0
56,-19.222919082181363,-17.142332838256934,4.161172487848859
57,-15.82051316262412,-15.820746824819317,0.0
58,-11.24027128485125,-11.240049531650872,0.0004435064007566325
59,-15.64272562357824,-15.602329178323725,0.08079289050903071
60,-13.172134878386856,-12.057485050935544,2.2292996549026256
61,-21.04308359927203,-21.045227406851275,0.0
62,-11.280901221786422,-11.280909056331216,0.0
63,-12.272841971184022,-12.271711285007164,0.002261372353714819
64,-23.608389735265757,-23.610416945787165,0.0
65,-11.183624885284395,-9.786884680448765,2.793480409671261
66,-11.47779075148742,-11.477794835056246,0.0
67,-16.38935244439506,-14.81798985988722,3.1427251690156766
68,-14.596562447600183,-14.61180141093283,0.0
69,-15.258169749401128,-14.84590087253699,0.8245377537282756
70,-22.00688589495126,-20.439176686059668,3.1354184177831854
71,-22.543745015409453,-22.54383579271173,0.0
72,-16.47075473288777,-16.104933187278778,0.7316430912179825
73,-20.789222633720332,-20.702113398183656,0.17421847107335253
74,-22.76592226490649,-22.76601011331892,0.0
75,-23.65131151562833,-21.312150293006248,4.678322445244163
76,-12.372850178526551,-12.372854329840743,0.0
77,-18.72294678773556,-18.55867376825799,0.3285460389551389
78,-24.648560054944063,-14.8608924121674,19.575335285553326
79,-18.77824552320804,-18.674575246178964,0.207340554058149
80,-19.34081544301407,-18.19918648252157,2.283257920985001
81,-12.07183162827812,-12.07186849943647,0.0
82,-17.692749022066025,-16.757449409646846,1.870599224838358
83,-17.59738524665009,-17.481832406141454,0.2311056810172758
84,-11.389206771734925,-11.389213432921128,0.0
85,-19.498610693041787,-19.498623013324835,0.0
86,-14.746270317078954,-13.371369781941487,2.749801070274934
87,-20.581707704171457,-20.58173470359159,0.0
88,-15.681585565669549,-15.826281709654271,0.0
89,-13.680728454565738,-13.680734328589956,0.0
90,-40.36906511295624,-40.374091914358814,0.0
91,-20.646406139870624,-10.450327146467888,20.392157986805472
92,-13.670981267121384,-13.55713324757252,0.2276960390977294
93,-16.175014465728715,-16.22611408098738,0.0
94,-11.730997595626071,-11.691884748251349,0.0782256947494453
95,-15.097538149829964,-13.030950466087576,4.133175367484775
96,-18.046811656570117,-17.748554704211713,0.596513904716808
97,-25.418807595302383,-21.71326382239657,7.411087545811625
98,-16.59392125534405,-14.053886912587975,5.080068685512149
99,-15.500083671324065,-14.266123395024676,2.467920552598777
