sample,ll0,ll1,score
0,-9.90945450838851,-9.90945600689842,0.0
1,-9.698274715178291,-9.698279901755246,0.0
2,-34.21116709601981,-34.21117103174862,0.0
3,-12.839770319256038,-12.839873278965149,0.0
4,-17.171990037094762,-17.171989802245232,4.6969906009053375e-07
5,-9.862710813041716,-8.219431548350663,3.2865585293821056
6,-14.467764616957382,-14.46776461986865,0.0
7,-14.559242405159186,-14.559245370696324,0.0
8,-14.109690543234072,-14.109694831042551,0.0
9,-20.52269287947346,-15.864695777425348,9.315994204096224
10,-22.095767406852367,-22.09576839713901,0.0
11,-38.89384671066273,-38.89384678828896,0.0
12,-16.72211482312322,-16.722169237166337,0.0
13,-13.98855336446188,-13.988929478548528,0.0
14,-27.3420589703774,-25.70253846983158,3.2790410010916418
15,-23.6814780261022,-23.681527260267774,0.0
16,-12.410089727485085,-12.409580276497705,0.001018901974759956
17,-26.493554386232027,-17.423541191688543,18.14002638908697
18,-24.162012653170443,-24.162015469958675,0.0
19,-16.02852367427628,-16.028469888343192,0.00010757186617382786
20,-20.11742956316472,-19.502853308692544,1.2291525089443525
21,-16.482425765062807,-13.967559315405794,5.029732899314027
22,-11.976497475606,-11.976497433919224,8.337354984178091e-08
23,-12.753843155554112,-12.753880586201618,0.0
24,-19.77454782541988,-19.774549387860095,0.0
25,-14.3447043187572,-14.153400905777897,0.3826068259586073
26,-14.85807620377284,-14.858063566251628,2.5275042425221272e-05
27,-16.811139884421095,-14.048385713806251,5.525508341229688
28,-9.335339202745695,-9.311544579072631,0.047589247346127905
29,-20.47486107856671,-20.12372858387196,0.702264989389505
30,-16.587318165940303,-16.587318719558397,0.0
31,-11.894291150228923,-11.894302452016149,0.0
32,-19.38190964901156,-19.3820664809033,0.0
33,-8.887575910911494,-8.556662860839708,0.6618261001435712
34,-23.19320219900529,-19.92718512913444,6.532034139741704
35,-19.784110953128664,-19.784110906472566,9.331219530395174e-08
36,-13.677913176747754,-13.558418450662682,0.238989452170145
37,-12.816735353478004,-11.286605628241094,3.0602594504738185
38,-19.86627559084888,-19.86627799720885,0.0
39,-21.876488032147243,-21.87661894330888,0.0
40,-15.274118525412518,-15.274135027375689,0.0
41,-18.72137243785629,-18.53685729261897,0.3690302904746403
42,-15.950054113806308,-15.499030597494793,0.902047032623031
43,-24.638525722586056,-18.340174694877295,12.596702055417524
44,-16.345138949160297,-16.345143290430585,0.0
45,-15.72057828498166,-15.497790663968416,0.4455752420264858
46,-23.053534992931997,-22.62606195591585,0.8549460740322914
47,-41.99952443944132,-41.999524450799576,0.0
48,-11.80713062395674,-11.807141392995288,0.0
49,-10.737429114474756,-10.636638306103489,0.2015816167425335
50,-13.2695310768345,-12.849476233244271,0.8401096871804583
51,-15.214613852284732,-15.214626087694164,0.0
52,-16.014418686068126,-14.318783055530416,3.3912712610754205
53,-12.48196271200264,-12.482745187171677,0.0
54,-11.354062612695294,-11.354062908878523,0.0
55,-17.088556903598146,-13.647834417719418,6.881444971757457
56,-16.366227685785184,-16.35542689049981,0.02160159057074651
57,-18.27851198747781,-18.270221654688005,0.016580665579610354
58,-18.387136382352963,-17.022200434877394,2.7298718949511382
59,-14.630650335090843,-14.174413641982946,0.9124733862157939
60,-11.794436793703133,-11.570000050248105,0.44887348691005613
61,-17.500814437220733,-15.003141247029582,4.995346380382301
62,-13.190826690611017,-13.190828019194765,0.0
63,-12.0265557204775,-11.528267493031976,0.9965764548910485
64,-18.79976784419944,-17.50974739363983,2.5800409011192187
65,-13.46632548766953,-13.466338203707682,0.0
66,-12.873018762892055,-12.85193530874004,0.04216690830402925
67,-15.296029776933496,-13.821861794928653,2.9483359640096864
68,-13.172757122715588,-13.172757520625565,0.0
69,-15.044642571884795,-15.044672398716248,0.0
70,-24.09939190142861,-21.73082675117976,4.737130300497704
71,-15.109235979805572,-14.333636226724773,1.5511995061615984
72,-18.93130307489796,-15.466173934496698,6.930258280802526
73,-32.63753963262515,-32.637539638635644,0.0
74,-30.546707714719165,-30.546744485123583,0.0
75,-21.87205197349524,-21.87205326600599,0.0
76,-37.284868074437085,-22.757046471826435,29.0556432052213
77,-20.65934334864859,-20.659368339174904,0.0
78,-58.6592196572328,-13.436074127251423,90.44629105996276
79,-49.42494885080937,-49.42501101410585,0.0
80,-10.724866562644388,-10.099113935878576,1.2515052535316258
81,-19.71095806068281,-19.710958612165747,0.0
82,-21.43620418463477,-21.436246237099503,0.0
83,-16.970148775871465,-16.846220903102697,0.2478557455375352
84,-19.51385416858994,-15.05442860857827,8.91885112002334
85,-15.754831026374326,-12.462939064310715,6.583783924127221
86,-21.39026887808296,-20.92405647515084,0.9324248058642368
87,-15.581421702753412,-12.86739724284673,5.428048919813364
88,-13.474129061448105,-13.34688837099118,0.2544813809138482
89,-35.07005071931334,-35.07005147214582,0.0
90,-16.716005508408227,-16.716007154793747,0.0
91,-25.04990330180191,-22.698387303039475,4.703031997524867
92,-20.673458575103503,-20.67346659143648,0.0
93,-22.482198041199357,-22.482197951256484,1.7988574541050184e-07
94,-15.70810360797642,-15.08366178739968,1.2488836411534798
95,-17.134865570146385,-16.237126924752097,1.7954772907885754
96,-13.571882777942289,-13.571890493675774,0.0
97,-20.73237319309912,-18.819351113977543,3.826044158243157
98,-14.541057874877175,-14.54105783308033,8.359369019217411e-08
99,-10.436715891733062,-10.436742528771628,0.0
