ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den
-588.5496294132557,735424.0192312888,648853.2919503115,59480.03131242754,17121.161050495604,5097.130758360904,28733.60272779437,29548.81881896315,1991.0338351447967,3093.292854041601,2886.9264541590537
-653.8822440536296,763499.3722268197,682477.3783179988,60614.133028966105,16591.88051477054,4708.307783257378,29255.218849943925,22394.471735005623,2291.015040104631,2937.1442528640387,3010.361629994121
-550.391392274587,763544.401323979,689589.6234141086,54594.8642187548,16394.3611216294,4625.465292905628,29771.58011026598,34009.22165951355,1976.265073551712,3170.4307997883466,2917.3876293352164
-717.3175001463727,794666.4680627516,627898.8062659341,59510.0437617948,15973.97171481924,10042.012838960494,31035.65689975025,33666.88579699637,1824.619964904902,2839.958902966087,2807.2704933780515
-573.2532000720762,805761.7486856438,552218.8113812659,81136.80570194381,15741.38357795462,14765.379629672603,28910.190013143387,36426.562985784425,2932.594174891467,2605.646290761339,2562.0075227739626
-791.6983212034305,776367.9493204778,678945.282364389,79660.31259433457,16347.546539996203,6085.292821523908,27823.577520998093,53632.631879720415,2846.875970983899,2837.3283853944504,2962.7731795361174
-528.447294309116,787350.8762460211,633970.1214799519,84636.7001164093,16023.967890534175,9787.807858317326,27501.221812092528,38719.905469476354,2892.723058338805,2949.770042307167,2810.1297560632693
-399.9384327051581,737069.7306094395,660172.2629072191,62045.59622967868,16748.51184813765,5091.801081642942,28642.810946445024,23037.999160960742,2015.1405089961625,2945.547021568265,2895.7764768246016
-404.78835246402,778536.0279074372,681171.6505466673,63022.09951660811,16152.661710150634,5897.21486603735,30082.20009170379,20946.044428246165,2252.388004474231,3118.1675272179973,2982.726388730221
-690.5265581426098,786396.0163376876,693624.4917446865,50000.157066819695,16257.929127934252,5508.109694453497,30341.02758851333,19385.772031652898,1523.0943734640657,2970.3203987371503,2954.657304620288
-517.9388199777388,805051.7339670479,608374.2973018362,70440.22847160243,15771.749339365151,11571.780812406989,29645.33186855268,23431.32784075924,2473.6450934891586,2866.1015667400698,2769.06816094805
-556.7264580047442,850939.2830337578,584209.9948123167,52423.06082652092,15110.843503560509,15334.43144373676,31264.94474265346,32607.747050282527,1824.278661133608,2805.349527838469,2737.712570723172
-676.5516744180018,817209.9469892094,604817.4579736353,50000.000002190696,15789.9671981982,12882.933533654586,31365.774346499547,22140.85317203344,1523.5493227435363,2798.7608181964997,2783.962458438667
-355.0859493264164,751539.4194258734,688397.1802896488,55948.305632985976,16798.953001723097,3875.2585631619568,29167.72825882751,22360.86623754909,1737.4601071315296,3047.94524313121,2941.2613594330583
-354.52386491224684,821174.0104148801,660696.5671582033,68239.41349632277,15853.550519431508,9260.521029474776,30739.427923939067,23781.62939042247,2231.3978480034693,2914.149908515256,2843.348541764453
-471.6996753298925,767460.1681381165,616909.1319922585,53510.48931581935,16237.878528642505,9248.630968695465,29323.733366318727,42591.19342950887,1801.7786030660188,2787.305979421968,2837.509363615691
-807.3439330195934,752390.8227399633,662008.9476238316,60049.132717681765,16692.45812914333,5155.914626597046,29178.709411989308,30879.96052385633,1956.6978321144395,2942.398841568925,2926.429494709512
