ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-284.80038145444854,752227.9922214438,655561.963638224,72950.846037398,16957.31825379532,5763.322929533832,27031.91027859197,50794.39121183101,2403.1179781074547,3027.8948780152205,2914.896991694608,0.0324777672907628
-322.60171412019577,774231.0871433057,687497.9326735921,75577.30997931144,16674.93769796517,5004.332154256343,27384.24790855491,32759.823274790397,2815.8606898335024,2990.360020299803,3013.827312298917,0.027430336521873
-265.3433169492262,758642.1927193666,684925.0733473001,54471.4663512728,16605.120120484386,4556.206869634198,28407.65668128718,32337.79363754456,1879.602470125872,3191.638549320357,2892.588829824068,0.0296206574092348
-522.4228576091817,754054.2285738608,672255.8746068152,60800.49854324928,16693.389412427594,4956.449010045989,28471.9842586258,41592.41981702782,1883.055541263993,2994.87070525958,2939.776837234728,0.0257098744471222
-365.3516723749841,800615.530573011,573637.1123262707,61029.54716729146,15944.075415471703,13405.66756172614,29084.0022593707,45616.30419986,1975.4728238845,2668.285960031916,2632.990410847242,0.027162666433598
-524.4536060508624,787294.386481475,672078.6436449479,93498.40589833797,16305.012924979732,6980.716209177112,26618.599986311918,86082.64774641048,3199.7547232353186,2894.6118884498287,2966.7889411216283,0.0253298056746722
-331.3739010164445,784356.6739715441,648044.9556626978,90530.09137272832,16222.865445603256,8715.175078265234,26541.25445074937,40021.23833849594,2993.428884765596,2965.4110820972446,2843.011518892137,0.0219085683557056
-349.17727818928364,757480.358061353,663768.5015779538,63555.89294047926,16500.75440463874,6139.626174555714,28455.40561375968,27523.14530999863,2068.7352101143524,2947.435099519768,2918.9442247174857,0.0122955290279627
-180.5577328236968,792551.2717464868,628877.5305488895,63368.27241677656,16015.158219242425,9922.61950822509,29686.679396442392,24242.66685952663,2133.7541660225247,3017.3554962066005,2873.420378280307,0.0236657257697584
-328.52486258677504,800811.4883681415,716368.0136022446,53200.61010667462,16039.840602928296,4787.962883277492,29462.884166846678,29737.437783686837,1647.6237003002614,3049.386650995794,2999.3319929780114,0.0304321843129676
