ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N
-258.22267049582683,796334.1451802478,685861.5642180756,50000.0013144333,16443.700175235812,5279.868821025663,29865.85045987981,25155.259168043387,1560.664027379465,2037.7261506264729,2991.7900784537683,0.1314940144751066
-271.6361448436266,833082.7491265541,728586.9379864268,73734.66339788707,15907.008417237068,4788.730898299391,29245.483875045244,28763.16746139868,2832.078399871052,1837.8082838735315,3097.302417090585,0.1281414813348689
-264.1451734881182,816790.1970881169,725852.4458419534,57656.12063004581,15942.086448340611,4555.593629495749,29586.67960643652,37062.06396312823,2119.722632552393,1972.702090690365,3031.163202174001,0.1201237501810607
-197.6384797449495,817391.9366869403,684997.7736605685,61871.93181935653,16153.069561908596,6121.333445324142,29683.263588842277,32050.234691836315,1965.14050373972,1896.203706700954,2972.731028432349,0.1508577225041562
-329.38778396825285,857162.5386564779,622199.4689883249,85041.13927741631,15404.428996515757,11401.79113127706,28713.786771667423,37997.65635528047,3281.6231355560813,1832.0551295409543,2837.8245459182044,0.1276605043499988
-262.94147981032654,828809.7164019296,709721.5538784841,72800.18118808644,15990.950939536318,5553.048072852008,28344.08472676254,49226.67965106821,2550.880502350364,1647.9549547881315,3023.0115257658927,0.1527166980376504
-210.1824359599467,847849.4048402322,739202.5527137929,70704.18535614944,15556.423109452277,5278.245552250807,28959.15016927032,29215.299030653547,2379.149516751193,1995.5256847456808,3083.456982599311,0.1304316651724595
-163.76855636063257,813922.9554543816,741220.1930049467,77001.72746742607,15829.390452113665,3830.685484148578,29135.715452513443,30624.239323223515,2668.7618162978374,2054.723766441576,3095.750629472015,0.099561905196737
-217.60691928623208,816431.2756962815,711557.4054997915,60242.22179417097,15781.086022983874,5222.221815784556,30444.81272588206,21811.57689823252,2157.029333918449,2244.8296356940496,3087.181210456504,0.0900241542315126
-231.95463367810123,852155.9572549374,700560.2472864906,60974.10868236654,15636.821250049965,6759.934029488156,30363.24740024672,24900.500325268706,1991.898857643439,1914.7583070560336,3019.678144958639,0.1443807347600814
-249.01468949630703,836643.9246654796,718604.5352570851,79741.96063300892,15536.44587020364,5580.622345003533,29281.947363737243,29497.163155632512,2918.6155285820378,2041.9205672807464,3058.0747638988723,0.098356776290827
-204.562035169047,857984.5249769895,672083.2510566312,52360.11187128293,15316.773092935984,8751.735265122505,30182.45828312652,30094.090985589493,1787.8675587244677,1974.9974422786493,3012.8289321855336,0.1147418975173701
-204.8320639930536,826089.8458599779,691365.4879172291,59950.00801165053,15986.169629952596,6245.348900256666,29995.10015369353,26675.723487937623,1940.477233158016,1918.9744815158692,3017.525326813194,0.1318297232012522
-171.0642753999835,817351.0657513691,749018.5849792615,77313.22389735757,15966.058140446505,3446.3409106666163,28912.801309852788,37784.75315457679,2630.592326951283,2200.28902405784,3087.460407626608,0.0771994841205731
-136.37087461759708,841962.8465148229,735782.8892714594,74752.65837946498,15706.593294512537,5016.736051375748,30063.065642387653,30057.790844686653,2553.0951819071543,2097.356107591724,3021.108450458926,0.0831069629979605
-269.4272215650743,825348.3923451629,688487.2147035082,72295.0154404031,15612.992087168715,6929.300572590524,29287.80745224213,50129.73285404317,2587.684429492301,2023.442631148358,3039.2789560612937,0.0888545112709229
-416.847556690459,831117.8543919518,704140.0504499252,69527.60130144349,15845.014820524031,5884.260500179579,29401.11399955832,38640.11022800671,2416.94956458065,1880.564434513918,3036.869754400297,0.1240048367969169
-286.24268951755283,817487.2335547593,705647.9302407035,56500.26682670767,15888.558742966046,5439.423566149146,29777.504405944743,35819.79845260168,1972.595589090203,2008.099664748268,3025.796813431343,0.1067508229419497
-265.40243536589867,880259.2312626746,687703.9826396754,93738.99050282352,15094.71639563357,9359.54191341768,29174.277295356456,41880.30081792387,3642.861756023096,1764.3921767734514,2979.5665616851707,0.1788077576735227
-342.0645521565353,852222.8054489711,715274.495012863,64755.90699701978,15521.73654520478,6674.41280713082,30281.379641833497,24316.22106709338,2277.9049664264776,1842.274126431533,3050.2035420558286,0.1317343758956038
-278.3491753597598,839523.2508603166,735048.0872073461,61172.33138326217,15621.033294128374,4806.584425154381,30088.077768182822,42091.23943637092,2165.761079691149,1946.4730775572511,3076.18430885738,0.1100000461952106
-243.95953392496108,851284.3883092211,721577.2063602571,68385.93755018633,15440.732823212336,5940.307171370651,30118.696587954822,26315.11867949228,2479.3246664989365,1780.681028016888,3066.604757019952,0.1440582345412689
-314.1151168563975,852536.8707324653,714531.3584781655,65914.55465144438,15532.76986722594,6042.251546484132,30263.349704510663,27674.940429885173,2637.528155433736,1873.8726927740968,3082.264789651056,0.1420190915284135
-222.4142896892768,796412.8176628151,728562.775993415,67693.33108163542,16233.940632523176,3421.405193421791,29083.20583524333,31139.038107879995,2431.341718897257,2068.2674690935974,3048.033483385537,0.1069582287924419
-370.8978693226409,828225.8186089651,722515.0105116453,57714.652674097386,15853.039738122026,5148.250293389914,30530.93126675076,21273.42641462897,1949.165367039855,1836.339434103188,3054.2407881360955,0.1341118044633353
-217.38796052093835,821045.4477552987,689985.5790407992,62924.28397191152,16268.807481729868,5749.096658811093,29219.08792304644,30292.277780041717,2470.6031705471987,1723.4885368896353,3092.7511819435117,0.1571419704316149
-237.06823476104523,827957.346865562,672087.5546627431,50000.00000000001,15733.53915373911,7740.639026386082,30585.156537040937,32835.28877993641,1589.221061347382,1889.789447111862,2968.562568512893,0.1298922025225952
-305.48831438355654,857470.2046090188,717471.0611949147,50000.000010050455,15444.86642034087,6564.171139688872,31340.699555079165,28462.39305718557,1558.3613986384703,1871.3292617117488,3132.811211739079,0.1288452245984496
-156.62573626172735,802791.3159933707,706006.5625576552,63162.42176130434,16186.580411230316,4781.3863189838885,29614.735412654536,27706.97460115632,2101.5793238543006,1963.0435139652484,2974.437900340765,0.1283670454151868
-167.0189511973648,823082.0573279159,690055.8763226336,63147.89235054704,16247.092238819374,6174.958738545051,29306.20960574822,29254.23752023509,2218.85715664466,1966.745715286792,3002.150658318292,0.136198412459569
-258.38099032634625,825381.121870519,717456.4936592799,82350.10141931094,15797.013622926564,5111.400485057868,28961.489943302226,37398.11436396393,2979.371500302528,2124.326191054305,3050.8817242460373,0.106705193406587
-269.09513483999854,826304.3212991644,737781.9905005996,80263.09761276931,15964.576946475376,4542.734326826873,28060.92248614053,60372.16937201696,3052.423053769462,1972.4958929536083,3177.242346304902,0.079922838538759
-209.2421272179821,830937.50500499,642878.1477945389,52689.25310924899,15970.493177192551,8539.911859161752,30336.429573921425,20025.971724496867,1788.9582421385746,1880.6185709761876,2946.2013738980168,0.1716272343354942
-155.30724510610372,797611.3035996554,710248.5215145373,66030.24064691216,16163.52184076914,4462.400345777979,28998.4698819419,35861.59703607857,2212.481745209718,2082.0435524899685,3057.74441415689,0.0962353859186103
-352.66931949702354,824992.3194644796,714135.2923000767,64191.36020211,15892.32425127346,5124.678262661209,28708.6062107516,41741.87934640524,2298.1808449978075,1911.101097155626,3062.4579834572182,0.137746651729489
-230.3559743613368,841373.717117622,667912.6645174443,65363.03315527065,15498.556276541272,9341.777158216792,30534.93458907402,29525.621703416957,2191.089762275262,2051.1375635619647,2892.527719848742,0.0950825668290587
-272.9224732863377,850084.9379006237,680586.7843115198,66400.74354720656,15513.661608203653,8186.560821518035,31027.5960991326,23615.743643494086,2116.980970093647,1979.206204141535,3000.3464503056284,0.1246947052669006
-174.6224701891553,837730.4197214016,680619.0233379899,76720.6882659954,15918.894976893487,7086.656319150818,28985.047797043902,21646.10022921439,2820.6337357469383,1854.83963045186,2988.7628098836467,0.1439380884660311
-268.36146815099914,861361.374279796,732434.7421045023,61995.74558252279,15252.312809365872,5844.551934227858,30558.608672390248,29852.27772387723,2098.6558728046566,2086.3708830523465,3027.9363876225416,0.1188260880840497
-219.18514002113545,872872.1151516434,685021.7632621707,67064.01082406787,15277.180554842334,8377.612507776092,30314.694939403264,27028.357617642963,2409.31390584726,1920.0087154001808,2957.784923936316,0.1512930849916418
-346.96432273003734,881326.6337510244,635479.3844306369,63978.30388435515,14976.745780181498,11144.826285993626,30998.5736751189,50688.45829736813,2263.492154785402,1892.5065703167315,2906.989831799459,0.1264177657720001
-270.17431488199776,823348.4956485407,726443.1166948575,51072.34328697003,15914.49868214375,4588.427740741888,29923.8045921982,29588.01831360473,1609.489384206019,1880.069374867316,3090.710993667713,0.1259254474214424
-202.0486817601877,856175.2521821973,657330.8364025013,61702.21917193631,15541.988586787676,9175.458695115609,29840.05214261214,30121.620818741463,2106.214390103746,1922.84686400484,2945.934149119401,0.1319510746835921
-183.7183681901157,834196.5157135348,719923.9539199091,69039.40721647798,15752.8727379746,5515.104996264229,29474.23680018315,27669.05133908769,2496.675568508657,2015.145169524469,3056.600203362492,0.1151548081268239
-296.9847596796113,850126.9536226245,696481.5268818949,101319.67981153692,15421.993250484724,8058.673041519205,29077.142204915854,44689.10145456969,3657.376191387445,1969.6317090035432,3028.628864690726,0.1173344355475795
-181.08233826618056,793551.0068328466,730743.3513819776,88310.53454002837,16338.404288483463,2970.8116902067536,27727.481138486808,36200.649972019215,3240.032595460869,1969.714380760156,3053.2946767823337,0.1194110787247563
-185.3136309050612,797717.1938548053,701290.4394795627,76416.81469347914,16420.041035938386,4685.776827781008,28325.187641151988,31653.94387553711,2928.820300964525,1802.839405332268,3066.484886426619,0.1210765390165259
-108.49443429357372,835292.8010715073,677726.617691067,67733.41978024816,16015.74890937999,7507.094549873409,29475.16159860754,27805.06218972291,2518.0012285923704,1827.2122983207105,3019.031462041832,0.1372114072028852
-260.5884044352725,857617.3240232426,660493.3778031832,64260.1801273306,15394.113305451336,9223.01924596393,30311.21077831692,22155.167812670188,2328.85241909886,1821.963781874556,2843.971768180839,0.148457382794036
-278.8455878226114,814628.071693838,687913.8921458555,50000.00000000001,15976.08768997944,6024.991656638953,30186.54849643371,90801.29143209636,1782.7077632777562,2077.31441920849,3025.1931770395904,0.1064025522875272
-234.224611259627,832434.7843915758,719979.6067115065,59009.217409141,15953.143386240818,5072.075232941013,29883.71050269464,29063.146648839524,1900.6495879501963,1867.910169261516,3002.855093532973,0.1287064400167951
