ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-33.43427672027212,796733.903297227,679003.656408669,59423.257073910274,16493.807027983057,5925.105427091088,28262.04464315828,39472.48902202311,1879.908272093872,2097.125530396773,2984.640576082807,0.1085196044533338,0.0289981657542009
-74.72560091051751,824892.5823742045,731947.5965331864,93951.45695723782,16148.182150481362,4465.946573263796,27236.701555798587,41316.53365966652,3567.922085621924,2028.9735614519943,3099.6147121428967,0.0954386439931561,0.0219369214183728
-63.57914800420477,802055.9249110303,723262.757845647,62676.55940495902,16224.274178808018,4051.420869001926,28214.456200697037,38467.2074224728,2240.6842668610843,2128.952966832552,3006.6325398151776,0.097573766102343,0.0251338848707254
-68.83460349979083,821403.9968241792,693646.2989193154,57649.85038155343,16102.895933307593,6073.946966264808,29188.783435027144,33716.16398404423,1809.948832353386,1976.5217483626705,3006.134018338169,0.1370947477798724,0.0208985809253031
-117.579575724963,857392.3103858622,656205.1963911633,73405.06671458133,15509.636905442989,9841.027320706486,28681.525501808926,54748.21234552159,2590.0884917052604,1857.71155550382,2931.128657524317,0.1237253729019567,0.0273620895824647
-133.28366387998594,823498.9814454849,720363.8096797178,87939.01366866536,16107.3588402332,4880.19858281592,27077.327005333995,72988.40991235829,3044.030389663122,1776.2996568320232,3056.6439524743537,0.1275314717526224,0.018552721501137
-59.46765716624016,840298.9089233603,721325.879673193,89365.0193176694,15765.549876139994,6058.8419958151135,27438.062665525977,36575.589146824364,3031.117397233993,2059.340132875357,3041.0781713464253,0.1135558704129578,0.0192463995213273
-100.39100212513802,828450.9835183074,740358.002367106,70207.73099681207,15694.85565050606,4600.01245539967,29081.29568803496,32832.428403136044,2361.321013038576,2045.2206731176748,3111.5761188009187,0.1000145484345525,0.0137816531585449
-32.846775310710655,820950.2139959285,674667.3534860455,58998.1740443362,15769.456456008478,7385.439389557755,30010.82880774285,24196.7978498082,1990.014721922036,2312.682103180834,3021.752664135397,0.0799474218594878,0.0221539171259338
-69.38944566517173,841709.7522074018,731393.2633689976,64084.03719037157,15718.541076749816,5023.312826571835,29451.453977834888,32739.46871841787,2083.4510407042694,2077.036281388269,3066.4450761926514,0.1127571685069486,0.0218694014267103
-74.37707739431768,831426.088634324,725162.9832145314,77403.85727645377,15679.06670895631,5148.038039969942,28838.784258920878,34481.273402559265,2584.8588101321798,2135.7627308138844,3021.541651708372,0.0838458647147688,0.0233897014185907
-37.75631938535615,863152.3894558755,682861.3225135788,59148.63303767073,15227.626098825664,8544.119679491829,29627.76332844712,40835.70321462504,2053.5570165613394,2090.9936369678267,3031.841531122399,0.0981834988900747,0.0196438525297018
-61.71770391468623,820746.9192499603,669424.0433587382,67078.27906736953,16139.29769015626,7247.851598578731,29197.77904613945,33613.59104455381,2078.5263675373308,2043.853902100767,2970.2512095690604,0.1037922580907917,0.0219945220373636
-94.04538748300422,826006.3426021483,758376.1510556551,79569.49780929564,15882.54796500278,3416.4338456134224,28424.87960240111,43746.02604771362,2684.6678521481194,2234.825781407068,3103.6232154772174,0.0724648281998722,0.0138943598107266
-48.51759990116357,828843.9306975509,747021.431421417,84898.85484576576,15910.608137788848,3941.442453487357,28691.69538258751,39747.48823389384,2890.5584865873443,2238.2611418317297,3044.190578108679,0.0656988136366753,0.0138783554653024
-125.52930405460032,821720.4701570099,684345.8873488887,65972.56048530356,15801.698274343453,7035.085016670168,29022.42586991692,47713.596699418085,2204.633100312198,2057.318980781118,3031.731201672425,0.0841794861918564,0.0190129387901458
-87.30404765879456,828371.1088912333,704863.3701885246,67212.8227540548,15909.573061994288,5989.316517651478,28796.71333802265,58850.88882420104,2318.2699130632186,2008.871699015487,3026.30713827262,0.0945549911333089,0.0324142676947189
-103.60376972920513,820373.3333912499,709492.541302273,56161.240803662615,15890.29755221992,5507.543191716004,29338.838948093984,45047.313055597966,1858.0659567638493,2043.5233161680248,3045.540407529679,0.0959938205282755,0.0220556899411227
-131.20486547241464,877636.0272256992,690476.6927156316,68361.07665107642,15180.335687374823,8969.788065831433,29753.03441805804,42762.74283334243,2385.2026049051733,1802.0954853618732,2984.1201463582493,0.166489445336225,0.01934075606172
-87.0333391054836,835632.2768465865,721282.3959831087,90794.04155887297,15798.868280637713,5750.774808275651,27781.32888829609,47954.9362051158,3162.394918598007,1979.5452495969696,3050.562945331525,0.1031771968450882,0.0250807008464569
-59.07777570883463,841891.6645842235,718246.4652423342,62608.544266891775,15609.75448248115,5821.052870410873,29687.392909847407,46736.8820404054,2170.8819999660736,2039.00445418815,3041.9985304491124,0.0989472219215511,0.0218404857863986
-118.41992464796564,850284.9579402326,731214.2131799224,65017.19109853082,15503.985002009626,5585.3327771290205,29922.367636888997,31202.92917927623,2268.2122857548725,1888.3755994805529,3063.199630891134,0.1216226827965285,0.0183221159294649
-57.023120908774345,818247.1663282866,698285.9015270659,60576.56240089573,16018.72938857437,5846.232814534245,28844.130298762448,38709.71338155403,2169.9043972933105,2074.118079577936,3022.715373992813,0.0989229521009967,0.0295206733587927
-72.53097681687319,804052.2869300371,733734.1678545969,67567.681910126,16131.08457678252,3600.242800167799,28705.80758098276,36667.37957349816,2313.928745386047,2156.2810685552304,3074.952217483073,0.0882738825177288,0.0195133880093242
-96.8300029547684,817445.9597782533,715443.8007495848,68736.22652617522,16076.954987794516,5099.077020993994,28981.889144580105,30036.94168945027,2395.7642636427854,1969.590033289761,3078.1276653266777,0.1027104381480719,0.0269044093668019
-137.6411574724837,817399.4170781764,685692.5864706298,62451.63907988305,16305.862161785695,5993.187721691425,28872.851654393184,40728.62911701018,2346.9095475052445,1803.9702796676277,3065.390355337116,0.1377300016929546,0.0138859299849163
-59.37655786810367,821740.2944260567,681584.6680540404,50000.00063491152,15803.451099734124,7407.383464969631,30002.429511880106,35748.67337965872,1602.5283294551243,2164.2766829501497,3006.926676553678,0.0832107323499631,0.0222226347395497
-67.04227985462803,835967.0678829589,737683.9098006872,55303.41443245159,15752.627300923095,4864.605063151243,30005.5216869589,31056.75249544848,1767.1538719532552,2028.4995598376483,3137.026755309487,0.0994026956900221,0.0313720034128716
-43.46317256264278,807148.1355450554,712971.3007954098,63076.37900366682,16225.804542539863,4581.153898396762,29030.150987365538,33909.74723129317,1982.0284971909607,2004.9045964907773,2994.605554143689,0.117315387176725,0.0189822046311721
-55.79450867384031,826015.2758256561,702433.8277473956,65625.55458003675,16147.672786661513,5869.415616394007,28884.841714420967,37997.542559861016,2268.002545154143,2074.626397782669,3031.9085927081605,0.116362654818373,0.0173605121904207
-41.687146643767385,832813.8634797416,727996.9285857381,76009.48631708993,15728.609768592423,5088.826228863446,28998.630591040324,42293.54515359046,2569.7992738953435,2180.7550410174317,3077.576081395504,0.0934060013938434,0.0219760004881452
-94.5363039961027,830431.346858277,730382.1441863708,69059.11309231241,15875.766799407233,5261.815863180856,28425.39620747469,77701.81293182925,2425.134283989502,2097.2058431565483,3162.3604315499915,0.0658212076609986,0.0195981430561365
-41.23540010492309,834819.8009508932,655786.7866512391,59351.267782967545,15885.85323207157,8401.953760269733,29587.246443631582,28832.00740395069,2076.305832380574,1973.8656127528648,2970.9014612254805,0.1428346065645441,0.021531892819172
-60.62716281305552,795742.6886603328,713114.239024549,61093.98054199475,16222.922542780634,4245.466759639084,28776.734437130817,37668.1417495203,2005.1525619216795,2155.9972334564404,3071.407536790468,0.0847229007075016,0.0139913526428479
-72.90656963082749,829665.2957166188,707761.7549686122,59312.54674875166,15947.376007438908,5906.336791095757,28387.38709895361,51801.57442933786,2023.1257550419757,1958.4607137971543,3043.730553645745,0.1210854797059744,0.0254757715039629
-71.84151654891278,829783.9328356622,663859.6079207787,70556.28797650797,15704.701403437137,9191.148575135005,29608.59513004698,34376.4865837008,2301.3368963864336,2208.46386670498,2875.602880686816,0.0719858086861283,0.019696582595403
-55.79032101398937,822273.1062512293,702001.99953518,68241.25951058621,15961.526385242823,5924.248223262601,29852.59906571781,33695.47069893154,2128.288865760952,2107.0237133663823,3047.656865436992,0.1007300820255997,0.0258497506506388
-80.61476279078721,831042.3756998448,722004.9552204959,71616.40205565304,16014.765249389053,4990.902066300127,28626.541067115824,23905.071713965037,2511.336255802784,1984.057395666007,3057.994259919178,0.1205614490183239,0.0149950828346799
