ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D
-266.1983915128458,777610.7109401688,645020.7023482745,50000.000958240526,16025.99347022811,7029.2176473187055,31829.37747181316,26052.042888899832,1600.9181979206978,3150.1820161158644,2858.280614203947,0.033995134429414
-257.7459773471068,777475.5047450637,676268.5329684383,64412.05156764538,16067.705438698667,5174.338510630217,30538.957828754,24593.75228968631,2430.594229248769,2994.7167384168065,2919.596083927896,0.0365862731052298
-251.4238968719685,772255.7683405572,684999.3315948731,50628.90079297325,15988.119848842194,4775.392119833587,30974.9376710125,31190.19217407792,1783.331333821921,3205.5649390869057,2907.169177674148,0.0331512113545419
-216.27956677397063,767061.3218310046,667141.9192927825,57023.14592188344,16142.775927758665,5158.721512624644,31410.397631437885,30652.576368501926,1775.1651612841272,3060.16682096603,2864.737008066888,0.0378912401680084
-228.5375623714717,805930.4773025363,608926.3057275506,60152.33905947644,15437.605639367686,10223.306598671965,31282.46635819254,26353.27957485676,2156.374485406178,2822.2246195899866,2736.194955759719,0.0428352111330191
-185.06820283117628,777827.2536482433,651398.511649691,60430.81510691824,15937.96149564003,6717.93795161006,30633.665681447368,43961.99444754615,1999.1641904954604,2873.2697727084656,2834.209531937095,0.0428745593071626
-213.08617967548375,819813.501666663,673657.2337304464,71528.6988412781,15265.55706156794,7905.755930877361,30607.480493236653,29760.74697417361,2423.6203328393785,3105.5806165945846,2893.5499080092154,0.0380378145580261
-115.0050576256055,786065.7450917901,642173.9105524879,58640.36600292641,15650.857673923245,8338.381678515016,31486.08874670376,21657.724044797043,1917.6152363192805,2953.9381177635987,2823.428870716009,0.0344181537909599
-254.54879038137256,799350.3254693002,676342.1498785248,55943.31049789243,15589.975478773682,6606.321158659728,31810.30920817501,20989.140170719205,1960.4654746389429,3146.428208025219,2982.5157976592536,0.0225273875766058
-249.9690334412486,800294.8999168787,708560.9037384324,57270.87718021793,15717.728707215996,4537.035077030057,31743.937965761856,24015.05217733545,1824.335711884123,3006.678691836075,2986.726383151055,0.0348244151334218
-207.32800473174797,810233.7451042787,608709.7508747911,65843.84028494691,15388.0433595436,10737.876783487302,31249.535912487656,24495.247758592886,2313.223320949023,2898.1263476510103,2771.8823322735643,0.0303373002264051
-193.436285914586,831250.5611064511,610407.8695114686,51335.83504176571,15105.856255836636,11515.956746973294,31727.80546534564,29827.188624693863,1740.797047989627,2884.6787648302807,2793.1761142929818,0.0322478062273398
-222.0597372985618,789448.8701036193,597422.327207698,50352.753671236045,15869.180797516274,10273.296024787654,32017.849710860744,22494.07216426808,1537.423493062509,2833.381195003889,2746.9890381129458,0.0348499164209037
-120.83996927043611,782652.2090103566,680701.5343909643,55742.7236930857,16028.012460215425,5453.009174948426,30678.306854491257,26874.346600088647,1747.2968987455763,3049.509422270892,2916.988045406936,0.0288034574668696
-151.24868946824307,827998.887818749,651686.9526398471,65215.63755438962,15422.960651109071,9030.222397872616,31974.278861106894,25941.099198472413,2138.481023638302,2922.238094517968,2803.6481669699024,0.0262467809881348
-197.3629332369404,774648.2797481606,629028.1390406048,62568.57707519422,15891.183167936117,7910.472698422194,30367.538924714107,40648.8848599144,2151.008217199921,2818.908560080916,2834.084477169549,0.0301816677215328
-330.8476108590098,780276.6565533829,650373.1645220069,58430.80557421544,15948.958845294115,6570.511472352408,31074.102257255967,31624.516578298622,1964.3675530985888,2960.373926599418,2867.060253142856,0.0387402016547934
-234.87006665854332,779706.4702901639,613318.6514225734,53703.72853827245,15872.28214692102,8898.365217093828,31143.04796565441,33887.41638508575,1868.9116677122315,2904.347572707995,2752.350814993621,0.0339635098740741
-198.19469792051277,789038.1828483741,641624.0138557513,64654.9671090695,15556.022802170244,8216.099354367449,32225.104942043472,26557.325083018903,2340.657161526686,3026.940614536056,2801.509424932281,0.0534618234072506
-269.47426057031515,790286.274838204,679459.8703460436,55698.24695871434,15793.630405765713,6010.780349013907,31687.469472681358,20405.850141122995,1865.6541864667597,3010.4462475133078,2929.708928816007,0.037906578621921
-300.15264828556246,804370.2858903331,626682.3519510756,54437.426377402095,15614.781799352457,9340.420150550635,31457.259589536818,36133.02065736047,1856.3953052072263,2865.764825098684,2790.4955585483603,0.0296171720797431
-205.98224917324987,775705.3010749904,696565.358495582,57575.85809341629,15854.39447459992,3986.309210563323,31486.478034485765,22998.1158905309,1992.6732482445384,3076.4879081894524,2955.889252556606,0.0397962604195299
-330.9785690147148,811472.5120397776,626280.295370892,57545.672198475535,15383.109207508258,9387.320209750704,32398.051774420368,26286.28223182812,2191.345087817436,2923.672854935353,2814.571768945017,0.0387344956936671
-186.60378083430143,765683.8781864197,679842.2121297134,52575.21523720595,16120.2558810468,4686.238156230293,31119.44200275249,24626.247249939534,1744.266928278831,3151.5819295837896,2909.6755454140043,0.0307029428358355
-286.0311112396282,776759.46090898,672300.3959279819,51634.12947772621,15914.587054351212,5620.309128126925,32150.463492682924,19015.85104180175,1667.488470175047,2978.26168437727,2888.9960916655696,0.0382338286236214
-126.8322562152632,761481.8822685266,647010.9979811714,53916.87395293881,16333.028043733577,5717.563969440561,31097.24544515062,24535.380528993643,2050.4329507361613,2947.690618554177,2902.803537240362,0.045359334696033
-236.15676471185063,745574.8022881176,599440.6397115054,50000.00000000001,16367.310024770915,8413.455793709009,30842.50158891356,27229.28322815795,1573.3109565872903,2859.6960203390886,2724.5288753537857,0.0328253007553428
-297.300246622931,797393.9408035596,681483.5938395885,50000.00000048495,15692.213452436956,6002.970849438248,32424.97198959509,26358.69974121253,1555.0208707748411,2942.9292069253465,2996.169501771928,0.0358764705157418
-176.01071361560346,762574.4943988675,670028.8018415717,58717.32369440271,16141.171270262344,5102.525921005367,31281.95208122764,25681.56242272328,1907.1805568371549,3084.268803803163,2843.83448790203,0.0318904909493593
-198.172438587333,777956.4233645851,632131.300038657,63633.04790032355,16205.866505948748,7797.140032726144,30555.872828963664,29548.85594812005,2293.511226078495,3051.4906703689567,2820.929622225929,0.0350531596324911
-248.2055986511309,778301.3461781017,683631.773628914,67603.77548473794,15960.818748195245,4875.676891651594,30524.16169224189,30249.90708160249,2351.0631259727365,3110.5689462744417,2942.9126370178665,0.030173092799895
-176.68248844020872,766422.7583275533,666289.117812551,58495.08639284324,16370.452895483637,5519.735577757482,29253.843166555584,38512.59980441455,2067.24279709623,2780.290422395384,2954.65199404371,0.0310490562507581
-248.20688205215487,793728.5127468645,580018.2352401495,57513.40326671471,15635.148974798634,11195.992158188275,32274.384785009734,22248.209636177053,1985.140659128612,2880.433893441867,2707.084798370105,0.0439616215371624
-163.94413356852962,776536.3201181296,616361.5265269366,58295.623556313,15967.840200229975,9190.453526751551,30584.79383691044,31965.806582102272,1884.6886255546312,2877.7552870967943,2802.2228253308303,0.0262783363852152
-327.9615285618118,804894.7678302102,642970.7394986677,64966.604646043765,15410.072374316287,8371.189733753656,30818.52846594872,42451.35862877364,2339.3495531572125,3085.2661686571514,2844.607185161294,0.0403396339391019
-179.97649358814064,794204.6771248811,636409.9551232355,57994.75322413672,15691.829085825908,9012.389128288696,31698.30805523846,25064.21415182485,1883.4049308077333,2940.662495541424,2784.6845710892435,0.0308668411528237
-301.73525269881713,811668.4279181594,624212.4480469314,56111.84793816994,15471.69430259092,10174.13544612602,33020.36340050529,19832.972907187348,1675.434276644899,2947.949348670277,2805.0735098409546,0.0313594448729629
-156.72274974875427,808536.8806247765,607895.9236048269,67397.27133708139,15563.352158489104,10214.789700744648,31415.962189044996,19329.42040310686,2400.779625321774,2958.029589307386,2736.682049318282,0.0409868180076695
-316.74369498274143,849270.620563911,648749.6103882572,60827.12359344086,14779.543740851052,10094.298980128966,32591.43149551685,29859.53916263035,2061.2415201286863,3033.9964528865603,2813.4693828143368,0.0324090877167829
-200.4647172523958,826091.1807973719,639831.6235915123,61821.94802016707,15160.9768601355,9339.82717876164,32367.19042440784,25732.88670190799,2169.181004000773,3148.445805111915,2792.7875981508,0.0429710625908041
-263.15759300164046,843966.5856591634,603443.879163488,54180.11383248473,14835.409621042589,11854.48882692105,33265.09826137307,39596.515582308304,1831.8644097458312,2921.724148475964,2749.180938030857,0.0394214772802095
-234.4846126406284,786260.6350043251,692887.607735978,51301.62448591751,15816.599308763864,4851.191314869193,31415.43711375736,28921.41879325151,1637.0494346328974,3042.5439683962604,2956.578903684257,0.0370783052320678
