ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_N_Los
-61.82946618785654,781132.5487671582,627631.0095544837,64640.49436089882,16127.73072436259,8468.18774101077,29509.631122753955,44503.03156561709,2124.974430786026,3025.2349668336587,2822.0301915094637,0.0288463876026224,0.0279929439442066
-70.75850604893694,778100.1837380768,684234.2590136374,68385.6569527327,16310.782564632544,4872.492742033529,28969.226308723508,28891.28492501097,2504.237039406189,3033.8360390932503,2945.481623248875,0.0300634694934999,0.022006156567615
-50.88992830062778,765965.8626324708,686260.1065082551,50000.00001362919,16240.780591722993,4381.421096033545,29598.20333306349,29575.63918182181,1697.2903943833603,3232.458109738544,2898.063910869147,0.0283646282559294,0.0259136039911499
-90.12326705946327,769741.4551852809,674743.9448285718,53119.458525266375,16173.905564195658,4988.044714274976,30543.648089078422,32430.057909943745,1639.148332534745,3110.4769164456507,2901.7572004614776,0.0351872182771116,0.0210296892204994
-46.78471400518849,804727.1087525552,620061.4661313868,50552.69893310946,15583.271354283785,9753.599856542063,30953.71839319373,35578.034347854315,1670.9464791958258,2847.5802426795867,2774.0916328359053,0.0411487518266167,0.026426136375027
-49.346373088046015,782128.510529129,641444.1819960483,69305.18562826527,16007.057128318433,7456.463591121324,29402.76836736417,62978.228454723816,2282.016636613281,2890.412683366445,2828.2710265594387,0.0388630294837041,0.0194159682428771
-76.2556828298508,808732.4153864015,682134.3760997757,83374.16773041237,15598.794676419297,6981.650398119042,28950.099958033938,34167.582055750674,2810.6347961391307,3101.750015235783,2913.07942770037,0.0340698094050749,0.0188384663403252
-71.01892172112343,794244.534823399,646710.2163170273,51437.41968495299,15596.394845012235,8480.997908219255,31345.111020276072,21422.80146762851,1621.617560826763,2959.6681030437526,2847.232561678725,0.0343696266252101,0.0119983897435321
-66.53584352519307,803685.3661804339,625960.5089641523,55616.15740595361,15635.962005860194,9702.601440903612,31067.83432827024,23619.816334611267,1848.357663274224,3044.252093894212,2870.4421755289864,0.0199564218785911,0.0225700263124812
-80.83233488700373,803836.5998717592,715346.3996203856,57933.253580382814,15738.230321444416,4411.750172726267,30659.8273089761,30674.24825086377,1833.3431373772555,3045.5512426355835,2999.651059932853,0.0276961910589625,0.0222895532696104
-48.00222918237012,809438.7909116785,612216.4958889403,64999.13496934864,15532.034826273046,10664.72633259344,30519.39040428553,29030.076036376893,2118.2019155255,2896.2336467321725,2747.8565628461733,0.0267714904646834,0.0228882575215421
-54.74164096480097,841122.8629536809,609225.0320627915,50238.34290181123,15023.7838451841,12118.318663464332,31386.084187498134,34151.52524609144,1679.3094400515283,2901.2374242285714,2792.387173655561,0.0281897183332278,0.0184259843337376
-85.63881013194248,790053.729762381,592878.0524955193,57462.11458648818,16062.242397614988,10545.67826665555,30767.734232171097,29018.675952661208,1720.4753466083746,2814.2166871014715,2739.361695946755,0.0284104065796118,0.0219592796010901
-76.90612877680393,787190.1903750801,684208.015698569,62622.034790397,16023.747590440376,5547.920029874535,29818.63207713136,33086.76315913056,2019.1753854834328,3048.4831031192703,2925.467311485051,0.0269570723037399,0.0110287420111066
-68.96442079915889,821937.8616221858,659035.5851039358,72111.08509958348,15606.539776529546,8439.85430784954,30543.132234982128,33281.888973205656,2370.333794566685,2934.900379423175,2831.525976525876,0.0216522321457814,0.0137542786341497
-73.28460727531848,773957.398821633,630831.2373822368,54027.53552469892,16048.72691913969,7806.417389851549,30174.61288421694,36536.52183728052,1724.5732861134566,2830.7686012832314,2841.739212248293,0.0287436896229585,0.018288697445253
-55.46711634939255,797867.1081797162,620953.2328802112,61780.81865996271,15834.036108767665,9315.59187577832,30164.89251941849,51235.85788597511,2122.186497672973,2844.183979521999,2790.1316679098186,0.0315213366222887,0.0305315592340412
-92.75706577685384,778553.7752189288,627191.1453852997,53242.44313212173,15988.53220131618,8192.396812569952,30378.26519224477,41324.36008459298,1766.7954385914554,2903.6164661930084,2803.2073672007577,0.0307535474043907,0.020045411138655
-64.78486471802945,790420.4378525591,641969.4147651078,53348.96132457693,15660.188918514172,8103.798002718228,31785.78272319633,30420.93656234036,1778.6537595434063,3030.302806544876,2804.099025482927,0.0499872697058431,0.0198406593761704
-55.43027577878532,791903.0566173969,659990.6787355919,63991.08201992035,15887.408060596244,7297.610724812594,30019.03280081565,31352.50061850105,2109.878383487252,2952.5640588098126,2877.245154901788,0.0321835763110947,0.0238533006710832
-83.07115204441996,805108.6862250901,630117.3811741883,52298.97382863322,15677.648615107246,9215.294750660354,30961.95740061039,37528.75203567857,1735.914726942586,2912.051279786184,2798.846121185504,0.0272801804569612,0.0222521721449036
-83.5083166928805,772894.3815970627,703843.5601465724,55247.22990722842,16053.034907062058,3505.8605172358966,30717.033213793184,27762.82319026424,1856.5588103454013,3099.9529799531374,2957.7690598824397,0.035647437400935,0.0184116174047288
-85.31559155548027,791424.529186156,613125.6857757336,58579.49865978876,15882.950681924796,9719.476344484176,29986.938645621383,41686.53166305306,2067.725789625229,2871.3244431365288,2770.889224873247,0.026879249887046,0.029412777099116
-64.14334940676727,780338.8224500054,677665.2604715924,52928.93461945962,15992.711218328644,5654.921449364662,30561.613100574094,29050.139899033176,1711.8742839906793,3100.931338770667,2923.1575933503577,0.0264389725846921,0.0183940030275998
-62.19472729955926,776426.0625394247,651140.1710170734,53732.81283904114,16108.60638812935,6816.728616981097,30757.11094586517,22855.296792271936,1768.3910156041495,2905.797255774317,2874.7448999350727,0.0317348230748402,0.0252556475677577
-62.76259433776416,762336.0002797762,642663.1203451627,53562.96258166113,16390.207997562717,6080.383219160035,30517.015265679227,31324.667414548763,1970.326981197741,2943.072948049885,2883.123226799692,0.0416001296235308,0.0127558438418024
-61.20209553635452,767781.935844547,601799.9842491276,50000.04039589354,16211.26515366172,9777.55644767759,30286.22337870641,30426.886818989293,1590.5286928421017,2870.983400867591,2762.4725920566857,0.0234338377854081,0.0217947963731364
-74.30581175106809,801956.9257302555,651560.007025744,51462.22201472191,15735.608601582908,8240.075413954579,31291.192075447994,27606.5231291007,1625.1304482047767,2888.205621482208,2896.1223883229823,0.0290807890668302,0.0307928943123881
-71.82666542488465,763994.7126606675,680313.759457431,60985.56125843944,16270.017154999756,4501.888402951838,30221.48178889132,32612.20393227515,1897.8534794681275,3092.71124689558,2876.622738502834,0.0297998413729858,0.0185788453211712
-86.65987380642508,788210.2012488496,632529.6024425708,68469.80645988941,16090.21728072512,8424.860982963324,29826.34998317796,39886.56093327754,2436.103925830571,3058.049179566837,2833.1582782074584,0.0307447944030331,0.0174755729467828
-43.29930728766621,792718.5022359773,686008.610045005,68676.76890074747,15849.09869858302,5607.442533688484,30071.13259801104,37969.82018499566,2294.154168112548,3080.342420338506,2958.4653082341288,0.0268868729792263,0.0216968318022577
-38.05977464747201,790567.9121865724,638111.4050285146,57753.23748549928,16043.789213925433,8606.169795174494,29391.428165311165,53362.02280267804,1968.1154566457128,2736.375536373401,2889.5024312723813,0.0272856458468486,0.01800630164252
-75.75459915105164,807568.0666333139,590692.7471430912,56753.62353990097,15526.327561346889,11463.773398548983,31594.5246812628,27854.86088925,1948.3245193601183,2891.8231811226883,2743.737165755746,0.0381470215360525,0.0219490565467874
-69.53957783221725,782687.4401077447,612138.6425731512,54664.68414096551,15958.785795612945,9775.76565129714,30255.440069254782,34501.991903508155,1744.28559655728,2865.60602688346,2800.737611995133,0.0237293931094599,0.0142429002635376
-59.019957801401375,808823.5615269812,643249.5216652597,57807.79341392198,15558.00869000022,8820.359872921388,30218.63895808372,50193.91863162296,1966.7095178962295,3041.339794500803,2843.8066152430206,0.0366015246825957,0.0255157949722778
-41.67089734844935,796972.9651181801,630452.9692283762,61666.80679119193,15785.075352731545,9632.108387931816,30749.43212235069,28786.779062012312,1965.9097132461195,2923.3619552845853,2767.7235080563883,0.0252098613761844,0.0189193723036469
-112.06195729663985,794129.1664454768,632188.7265196206,53446.76850105709,15880.254731355762,8908.983066707355,31765.571691558715,25644.41827924969,1561.5394629573807,2959.385583624047,2836.018116870988,0.0246614360022852,0.0249071788929998
-63.18298177927333,809415.3506937233,623095.1779241714,62049.69093664729,15657.507402727058,9592.41362711742,30806.11601902077,20787.93204875123,2108.7500066309394,3013.748842364843,2775.347883352387,0.035978800697368,0.0149306329633267
-92.0925588769665,827549.6098892277,646312.562901709,60779.68418667811,15305.046197332687,9564.319287594995,30737.243811647088,39205.11597212328,1985.2741379737984,3028.3732954883017,2818.9344384097885,0.0238488515315007,0.0264013721538652
-60.44726546694258,815093.4726183886,640487.7013860247,63139.74016711885,15379.6724729177,8760.680882229193,31126.69208214359,35866.98621355919,2138.468037398555,3097.438456971914,2797.7544303866853,0.0384505918081723,0.0180173964546536
-51.00940792526279,821070.0958590907,611011.8910314848,54818.70742420688,15355.022300927953,10820.40549312497,31420.73771522578,50285.55144248868,1733.588513029497,2932.940414950581,2763.2107070527,0.0311792548556369,0.0242404882619859
-57.86330845530253,795104.1045146625,693137.9799945672,51318.88860532928,15880.66242046422,5265.604517540207,30779.257193798217,33828.85256097396,1652.2132132364302,3091.540472108673,2953.328593813456,0.0326061578931182,0.0256723152841179
-75.33715594495305,818526.8109869066,646705.2727919305,65990.7991313483,15530.024486626107,8745.17389483255,30307.411187164496,40019.40045530896,2239.865318575047,2972.8844750738976,2874.1321807916115,0.0307881438187996,0.0165703084906031
-85.55280202601814,819725.8215804122,666757.393583437,75780.31868468926,15452.022106776289,8073.653421457298,29884.03740809074,41784.07382980881,2723.0808627216584,3129.050584897502,2900.324553952677,0.0294190257503722,0.0167992042195804
-57.03705942922981,801290.5171272741,656900.6709164946,79749.36306616598,15790.98908934364,8083.009062833598,29948.99205869076,45939.858787397454,2707.681873320935,2983.4066991775144,2874.952005273396,0.0301691358164196,0.0230824658041993
-76.1419287680538,759633.0276195334,705032.9626061681,69213.95821996419,16365.16581837085,2842.9859186288645,29165.21225556353,35048.6196602066,2394.890478434408,3086.1540619446127,2934.1298794632626,0.0309220128854306,0.0164018384675601
-35.64985792240017,763687.6482575431,608939.4846335471,60035.49981005696,16355.437564082891,8350.14334336121,30098.48045029124,29209.52833214372,2139.519437527972,2818.425370292384,2817.12771685855,0.0331215727532714,0.0156299703299485
-56.0070467427589,785611.800063389,629595.5221995827,64207.17503632117,16100.303259122247,8401.263253209858,30307.73527951571,28298.024387056736,2321.0799343359,2937.0901792332143,2820.248576310851,0.0326548345834689,0.0107033275780046
-63.96266637949947,805283.6984613171,647887.5235409095,60870.49345288561,15552.9427157988,8105.029617325394,31136.72902055148,21665.53148413524,2065.961283457611,3008.75471965113,2782.4944436829173,0.0375069619620731,0.0196373041268173
-67.63331130050815,784599.9244404067,614274.7486998903,50000.0000000048,16032.910427972867,9259.694967739346,30292.70633524827,271097.6097764942,1725.6984604876727,2912.289069408273,2795.64347070554,0.0222441273986593,0.021359397121923
-64.1996213434713,760330.7886095651,633411.6016037546,59871.08376675259,16491.190704801156,6804.717238228851,29570.76806420238,41789.953024807975,1993.9189007467055,2926.897687522807,2750.490844611215,0.0371417398349656,0.0201937634290584
-73.15964759396964,782059.2747417912,682414.9687138916,61734.399066850165,16075.43834387225,4846.053033607864,30650.29515999482,40317.54066940115,2104.1224788798254,3026.6583533638573,2848.5192282947264,0.0326825816512519,0.0283876823738095
-59.37518884747887,783923.7582899046,615398.9733082015,50695.016460980645,15744.8105839729,8786.778483970398,31585.409766140296,33197.261022356965,1611.4639190270382,2994.355551835617,2714.3240203162754,0.0454763925977632,0.0239899545887969
-49.256272385229245,774156.011328492,616643.346230976,52777.72113475316,16334.25321938125,8772.31243088159,30723.26520982683,32825.713406769966,1702.9687305418568,2909.1004211308245,2777.2018884859185,0.0282478501434142,0.0210213380732613
-88.9752515888012,824703.2422805013,713596.7563111105,57573.83252462671,15243.894590412609,5196.598286731229,32219.389717221293,33837.603458606194,1956.123580109344,3081.562223636732,2979.420899341601,0.0372265557479701,0.0178447155919747
-68.10643292105547,795475.8327440957,641086.2398280341,52163.42708019774,15552.841188945798,9106.2135625398,30742.960011711868,33372.90649825271,1723.3132980529165,3050.2212934664544,2805.2619017436364,0.0311572219642911,0.0202384427212568
-62.03121130818676,777961.115003735,643845.1822473791,84136.6772225578,16125.33202111536,7563.240394782803,28362.60558498441,58407.87675832948,2795.0349228312184,3038.954019630474,2880.059024287801,0.0366510070377067,0.0201587590718398
-77.45490541531882,815850.5420471265,657611.2990219898,51281.85449845528,15382.492877540386,7851.027897922758,32266.691788083543,23638.7223125832,1588.2484622454378,2983.3100700666014,2839.94006897145,0.0348213678851738,0.0284295682470679
-61.68712182983721,821385.1274347039,652890.0664002757,51441.79333221468,15320.493298792831,8430.78339489153,32018.861351301533,35976.228865295314,1775.3988994272215,3014.1187291767374,2790.903370696844,0.0352537416783828,0.0209926803015156
-58.33708843611463,778903.4037102811,670143.4489083478,50000.002885287744,16054.489866091724,5575.186371396582,30817.820873363064,28933.377888118943,1658.5276844982766,3161.825263456435,2923.216046099148,0.0278987266520198,0.0187103189585161
-44.84807020464572,800261.0040725428,626724.4085530112,58546.66895017385,15768.431241741788,9931.94784353864,31467.68990372472,23210.347233660024,2097.8590570806014,2900.5374265432592,2784.4085896067245,0.0247322871817572,0.0187400236842943
-73.00835050095826,789751.3587954778,557481.8425790037,83886.015566888,15935.497059887826,12191.691511447454,29962.2944402246,22968.46417310457,2863.133037304987,2785.704009649819,2672.936145192009,0.0348692725705084,0.0247306972422546
-84.06381990298374,814945.942475629,666776.7090107268,55765.34045632173,15580.377078256624,7611.917991534921,30794.633829513,27241.835416917747,1862.0865113925715,3036.84631430126,2889.8432769684937,0.0292101984625235,0.0180285293973149
-69.72162246073123,816752.545398746,679394.2421959817,63969.58292108694,15503.828755909337,7310.943371070946,30357.189648913463,26826.82934498506,2156.6784758957165,3095.6040992608546,2949.413414506315,0.0279779940247866,0.025858926520617
-44.76710905643825,819282.1379015025,590148.947677147,56104.84615754054,15373.472916273946,12500.64691369856,31430.9808240697,40085.80689853627,1770.7028009160251,2806.1538830196714,2700.872314645311,0.0306238736427835,0.0161038055206319
-94.14394883831052,792535.7570173182,713383.622013008,61262.35364170658,16025.092338644334,4216.919014860927,29555.05022813956,46783.316026229215,2232.7508811628336,3225.3784009799147,3037.5944197435097,0.0270492978947247,0.0243543204789105
-66.31204046498382,792080.6718725603,686480.4739758649,71777.82207637462,15828.809094147193,5424.703215432522,29982.589980820427,41825.33669119692,2556.074302628422,3080.9458618191225,2924.791121037964,0.0351087910339903,0.0186844871750289
-89.19731429862918,806676.4142869536,601807.9566097235,53633.31899566361,15722.458741489409,11470.660733151131,30420.861646634963,30501.755447098727,1766.027150506285,2880.1415960116096,2792.3673713995886,0.0192627671785553,0.0183587527554076
-71.30954910404054,815469.8225091872,610243.7709130604,57358.37253895045,15391.373903563412,11177.164544938532,30864.83732917552,35893.98369698985,2109.8322460293825,2929.353716807459,2799.7899926292976,0.0358339527880405,0.0226932453729118
-96.7617079146014,808959.0156758062,662649.8005000887,54915.19986568247,15509.22858666764,8238.731944449097,31280.706527998103,32768.83327485921,2074.0708845979234,3083.237754204721,2865.639350096021,0.0388030965751462,0.0192355044170356
-45.04318977341609,795919.7135185796,629745.5463792782,59852.81896091184,16050.105328056345,9637.237189527952,30202.34641397082,30516.50440385311,2023.7508195200687,2995.1741872881125,2755.6073707633045,0.0232889285053265,0.016148111746807
-80.03917790479582,792455.652887485,659048.1976584258,57138.48707590644,15883.954588788354,7082.791887138988,31023.75054488197,21421.18649031437,1717.94534589812,2998.1849648723514,2835.4434276507127,0.0359629971322427,0.014800214923526
-58.11867484595995,809243.8566936061,727567.7451341263,53557.187146373806,15357.782096517449,4093.971872110586,31661.279282787375,39343.14113191622,1655.3381426935682,3149.77819763504,2980.5353900284917,0.0357746952065858,0.0172702993329414
