ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N
-230.56705022869824,783572.3433443818,674350.2205254976,50000.08430675112,16244.69405538611,5427.9112217762495,30847.925474334144,25504.373276769977,1577.4817623931367,2461.159556037572,2947.7289317723043,0.0197653025145916,0.0672040547545839
-215.8284474811906,800623.1178779639,732369.250248976,66031.44083617767,15925.064056013229,3228.2853857785444,30355.169289979018,25489.717024374808,2485.009161988851,2416.468266590418,3065.76514037381,0.0261649517288185,0.0491127352213893
-224.24803579279444,796952.6331939478,708862.2233472827,50000.24288541881,15803.04727978861,4575.85913665054,30938.30454810781,31469.621425155183,1755.22988044686,2596.7501616783584,2975.5505069242413,0.0238294705291596,0.0459685611507228
-165.871946535986,792793.707076096,691817.5425378474,56042.92210968169,16067.40937773391,4850.54222054172,30945.986340590043,29236.12579634377,1738.4132550638842,2340.677230809468,2951.513998759976,0.0235178122113632,0.0720138418803789
-221.26527769157587,813726.4797809101,684519.7081273776,61701.19589151716,15445.725110692776,6250.8358696920695,30973.838556109757,26782.090988828622,2241.253136830312,2589.361185804155,2948.521463126264,0.0376028246370503,0.0305640361895957
-161.92582257344583,790376.7818074843,701023.2858091969,67036.02503443659,15897.271722253294,4454.071727231801,30012.901541956104,48027.39400348631,2282.676920010844,2451.8589752720386,2959.5536053276464,0.0354628156063314,0.0372877012975462
-174.0112008168631,827280.5812654616,730544.3352753427,69717.25637260312,15435.217368620224,4846.408561994566,29967.585467884168,28565.76950766396,2347.7103252394045,2488.079733531737,3043.053967447093,0.0246963844861402,0.0596331138338285
-81.00557838809894,796496.1149470614,715559.3519356883,60379.58970683922,15664.0260616049,4324.896850241783,31038.668157822118,22794.051824154714,1989.9947570752504,2567.970693811134,3018.380497696426,0.0263688144441864,0.0403937250563951
-214.1887390332933,815454.9032554865,697035.4883331908,54875.34024736554,15665.690527012948,5973.138397786554,31137.548182632607,20047.021972285023,1912.867462495888,2397.9609630657437,3052.588286473073,0.0068848838275448,0.0693945235088889
-225.36114806740585,835318.033233584,703214.3043748507,58570.94257142433,15565.83197094078,6102.432953560977,31163.535215674896,24065.93666760477,1889.26911153631,2198.915960808821,3004.199950405052,0.0164229529670161,0.0864688000521666
-192.4344259559821,815372.3217187098,688149.3498659295,70429.45479950926,15466.770051643112,6288.960842121538,30571.341917015223,26391.67477958183,2517.524597203336,2591.1489141029147,2978.8279865297864,0.0222300146695149,0.036397046932754
-167.87429089365472,837513.5089126797,701369.1506286307,51812.718469195,15230.260557300631,6491.6071730191015,31042.9522415358,29659.57212477465,1762.3343961715498,2478.872623381386,3045.8048250060656,0.0218288827926354,0.0485060262292939
-167.5149899125234,804502.7255631842,681452.6104075343,52525.08561340044,15914.594730643732,5933.372811108757,31258.76403565405,23175.356685864357,1631.6734328450796,2330.175577585456,2977.783970477105,0.0214232222679873,0.0643866498053412
-87.61054660409397,793543.8532834448,743654.4419231595,56813.14988468318,15992.545029020715,2477.484952794206,30429.749946849908,28135.7437237352,1787.6653464700976,2668.0587942523675,3067.228598465682,0.0223581205996645,0.0331703555587313
-100.25455083363693,832128.1420992145,723987.0598827772,65349.79337340505,15567.175003949387,5115.251566553548,31260.34552507077,26517.45593752103,2161.052236835952,2434.6472607974324,2981.7160029792994,0.0163123140012126,0.0458950436151489
-180.9124867245626,776334.3922662698,680131.7300965309,59952.26991446383,15994.097339480026,4950.39819652083,30133.051937493557,38141.5650196953,2028.014829707062,2549.008993394704,2980.247580935491,0.0245796478813446,0.0287272640359915
-303.6175797373176,798517.3844169215,684353.5343063371,57292.007571004695,15806.106843824598,5505.210126576636,31066.070837176547,31167.966619340757,1912.5498986368627,2569.9322038408063,2961.0318995631837,0.0316114272691511,0.0349484542662547
-210.41535676594825,780942.8842900386,679845.7646860358,56929.26581370916,16020.515466315494,5052.608381978148,30360.16429951929,35770.13615198024,2010.1687257167,2562.051917191669,2936.875780134365,0.0259360231356372,0.0387070321162623
-165.0984081806872,805727.0830277499,697797.7767010878,76283.58571884278,15504.993738859524,5586.160480548256,31042.965951538747,32017.74950097421,2872.269917253611,2529.3409793522123,2949.46414394722,0.0432176760162597,0.0502933175200453
-238.2599312916674,809253.4108385252,725119.7640080887,56744.84327171235,15634.110820507349,4265.985176307048,31562.551652219347,21081.806790790888,1917.6253139667729,2557.999082490197,3049.122322773019,0.0310006625843108,0.0384618044761659
-250.1117325602312,823750.46798809,721668.0927921938,55451.64271825962,15565.597512392278,4825.393038199246,30994.2166219489,37568.15881428782,1905.1952053256564,2325.9453092479403,3032.906753101981,0.0172353056874193,0.0587583610572591
-156.03194876432048,801675.7604478757,745002.2566826652,53780.5724086625,15635.129680173764,2665.005771522605,31675.94260584073,21168.91342183153,1822.801224741432,2491.939867558059,3076.179888860484,0.0313677232929808,0.0464717580688054
-273.413621331047,823759.5714658395,715704.7540201014,58753.1251066182,15499.544161470198,4917.307394134474,31568.28734014497,25154.75697369665,2271.0069314486504,2343.614699171399,3055.2844170948465,0.0248578777161849,0.0653073591508099
-159.08933792577352,772083.9404790212,718926.5809779506,50823.35121468123,16184.452845614229,2731.329186338017,30793.718810670565,23169.713165198016,1673.9665755747085,2673.4938334216554,3010.1588642040115,0.0233594496591055,0.0392981736151741
-260.2838706994314,773689.9570897421,693021.6574567,50000.01704301258,16107.05090141932,4198.9002393896935,31622.255565893425,18004.957802167286,1601.976488873266,2583.5237963002187,2954.507118400464,0.0318638385714509,0.0323864117421833
-89.25069494646237,783955.8524426786,697488.1960516749,56144.74645234671,16154.289973846602,4015.095448632961,30982.19218045448,25754.46618108453,2158.541077790921,2508.786194456389,3046.793888460584,0.0377883429449509,0.0405228065389189
-204.8576185067644,794213.701950829,683123.3881007925,50001.33527920376,15836.766791259612,5717.025872284768,31346.53184265465,29546.468837884124,1577.5283414082369,2393.6193886049045,2965.5051852882075,0.0224243133943758,0.0559927083377766
-252.57299162919108,808054.8965590039,709327.7085830612,50000.02799725228,15734.036177060343,4846.594032321217,31845.592033432196,27186.41638695377,1552.8156450867018,2422.8434144899875,3080.560006496052,0.026452908036095,0.047343931873063
-135.0201777330048,788795.0045988247,698563.9295579332,57233.80289381006,16034.396634717728,4623.8237857514805,30902.114452712907,24687.309477706545,1852.1200750003527,2365.1496746776616,2934.331320798963,0.0181667666221412,0.0666259728193347
-146.93510134173647,799175.4037345687,698573.9991090255,63957.008118509584,16241.283351085707,4841.365249523274,29860.615552340765,29422.73694795944,2275.458034866017,2351.420663853425,2997.475348861988,0.0187836273571194,0.0749274705494617
-233.38788847037995,793592.104824585,694963.6248925008,61139.55861923839,15886.217906082957,4900.379127257615,30661.606985988856,27023.263927643293,2069.016145389324,2657.7536599006485,2981.1463144168124,0.0219233986951277,0.038345819490203
-160.79607481960892,791637.0926949183,701514.0639381252,60395.27289894295,16061.79581561827,4735.353046963706,29552.213489009875,39879.703864336654,2154.754441281381,2503.759156163126,3051.730332546999,0.0266267846783059,0.0239036211569157
-192.8236834138472,815276.82657975,680188.1921441436,50157.53215890884,15753.360660948743,6240.386404841904,31611.071575498965,19038.404506806328,1675.8069538939671,2231.004228762968,3000.585925113814,0.0227720762712675,0.0954511428927606
-131.22529463117684,783138.7190940472,688595.7053271083,60256.96295044528,16090.98638242015,4971.845415423371,29860.62598435628,32789.43817913136,1972.5873984416603,2435.179409246886,2996.814503672893,0.015967863956066,0.050393822144032
-295.06190209572173,802501.8826764082,708363.3489378102,60119.76258309178,15699.879729721357,4531.684493004635,30154.06623169166,37275.767089164445,2114.778798282143,2551.22193077699,3016.05303786849,0.0289914109532876,0.0505480917161885
-171.75466525634874,784195.9341069871,689719.3166382979,59885.30383415267,15965.38333247814,5132.107884570513,30850.640800898665,25412.87605114417,1962.3296507143496,2696.328251920664,2922.9429395175816,0.0250878498600886,0.0264485175155061
-249.9509916536041,827872.7176609808,703331.2859359982,60968.93420282636,15519.523488613211,6102.722342160485,31959.210509549008,21571.52081935171,1889.852376889225,2354.5812853434327,3026.6816261345407,0.0175615697881322,0.0675268313116253
-119.61493946163864,810908.9641321861,687822.507105504,71022.06464801883,15790.331154640751,5758.146927578382,30369.78036451702,19975.24474145875,2561.0963570717868,2448.8601316548006,2963.402438284181,0.0286086560092793,0.0559598437286886
-260.0798874941861,859265.60578727,719615.465245922,63117.20669870376,15043.405705480664,6458.434753429669,31212.916395408563,30662.987705841068,2153.9179909840745,2318.1326827465787,2992.514695295108,0.0121515581968981,0.0805795499648056
-173.77421056396813,836015.1959031299,700032.4037822608,61811.35634435876,15271.857418813852,6309.655682953754,31596.388421482785,25032.17851294696,2166.2698770924867,2568.6155672009554,2954.833597683783,0.0301588498425819,0.0571413093331944
-244.813153989724,845730.1977438072,648314.0285034381,50607.79498762293,14941.197203331552,9238.333070410788,32932.903962232485,36356.26802570668,1678.397747046095,2622.759306157417,2886.293265872629,0.0325893247139896,0.0328967222281874
-208.08090946127265,801494.5328600905,733693.0505394565,53316.09951805869,15747.463679309149,3316.73805491009,31035.685863342085,30003.77266695715,1718.2070764905925,2555.458881606668,3065.5934219314254,0.0286267980070917,0.0395460625369799
-178.15993089951698,836930.5454569113,700119.3001340699,59302.45285483013,15380.077466935789,6379.615019913793,30970.917703324045,29577.07330791112,2004.977753672999,2441.072353706001,3013.5631599521485,0.02406389421627,0.0552939054056676
-149.11944767129785,819749.4739127291,719873.2862656987,64204.0498476768,15572.929405172765,4918.076868947201,30717.02003763597,25565.10697337547,2287.157638641198,2551.014562095208,3032.975763244794,0.0219439453101389,0.0495642013482657
-246.65104454198425,821405.9571689458,699868.015328442,84187.19365463222,15413.412983457683,6489.581873301246,30734.65723252265,35657.3043788298,2958.346879478346,2535.642176701349,3002.9909769789947,0.025126126814139,0.0443081012336843
-136.74990523904097,784543.7618889123,737531.4479206159,71842.95562818101,16073.87838455538,2250.3452143027475,29640.823623204305,29295.248288468945,2543.7279585426795,2455.1214090378216,3030.383618480492,0.0231909114504447,0.0544093415690904
-123.10265193443648,764053.6410594657,669190.0039533671,67046.82814261886,16385.507452579786,4910.198107149612,29837.602362848425,27245.272175454043,2511.2778986703424,2579.460398274446,2969.7812129002023,0.0281729672226065,0.0263080759628276
-72.21587906174162,800330.7226447698,695742.9981974682,59265.5285881843,16064.73055761453,5130.782041060584,30618.379719701028,24764.49485544428,2126.384988102593,2355.036081901188,3012.407933294785,0.0251052416627366,0.0563900873389709
-189.71989072622745,814601.316880958,684406.4047564828,57413.33128981443,15459.10427892666,6327.491193151975,31691.300544134177,19521.15148689855,2032.020209554415,2527.18915043394,2860.587568021064,0.0333048466052641,0.0462915174315063
-250.0335735124874,803815.3922242234,672503.3357634204,50000.00000000001,15780.23237667052,6451.023410190159,31091.86513985944,89398.68809213421,1779.5022811408246,2517.4211062913973,2973.3507792807004,0.0187651100164927,0.046799635472427
-151.56215748878503,794745.3351913054,696149.239359662,59481.68952548071,16021.679474273758,4755.314828364302,30632.6447491291,30113.315957061903,1966.8165992100787,2475.3525351397648,2913.3575957235503,0.0309686431144874,0.0456265395439608
-224.8931556264632,807396.4956803799,734526.5676507113,73410.94618987276,15759.215828409577,3297.555894737668,30870.5379019802,41548.840946220254,2774.0060417331924,2491.3554980939784,2988.730092384529,0.0268619026965473,0.0432598825041565
