ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-22.25745754134089,790773.5823998,679512.9005309466,54873.07628180921,16306.8566268183,5685.068171231419,29194.46557428034,36413.67343448351,1723.0325412127545,2395.8192289920976,2972.7420834857576,0.0137481554454526,0.0668984011616961,0.0284153849060409
-36.50237320378958,802222.3251585691,727358.3211396944,74227.09036762331,16132.635360969114,3647.6361059094775,28728.1220711234,31780.45454117678,2739.777954099132,2497.846951006805,3060.357404494977,0.0203711583883633,0.043098061581459,0.0213780752206494
-30.142374599012804,784053.4401490578,709510.8882247711,50000.00766859204,16134.204665262,3919.999403499901,29501.999373257677,29934.578147693104,1699.8122892658391,2695.8419859754654,2962.4936222012097,0.0200417087287616,0.0394733546554605,0.0253152831681867
-41.69343460454306,795084.047506053,703734.4134996027,54095.30159854486,16098.797299326256,4463.525022288222,30051.02518389866,31960.36892721176,1679.372559819825,2400.787906984577,2996.5719462137786,0.0210728843163006,0.068902199204938,0.0207109932713549
-29.170322318536016,817585.7674989428,700015.6771136489,50216.1938864941,15544.243025656966,5753.571024506723,30769.095593594157,35360.92378438368,1669.0205788629548,2530.56703814952,2994.2291474866747,0.0345380638152105,0.0368652083002095,0.027186319143504
-33.03589045574242,789723.6657449614,695494.1196642817,68527.67941187377,16019.634142880865,4710.71361479925,29186.698982449878,59642.38424999602,2256.27405382232,2555.6568229622208,2966.2118753457025,0.0323894378195379,0.0315091784445606,0.0189090650327237
-34.95163635145131,825112.3088189976,732210.6675416823,75046.48884194219,15632.938198738975,4752.158199448596,28940.589544023,30152.898086051875,2488.2097721962905,2470.968650424249,3044.980601511828,0.0206835393082462,0.0590764132840863,0.0189231423717816
-28.813998941931462,810755.1440714368,720843.7504875915,54644.17612765671,15540.787652604831,4745.411209132204,30873.036941703376,23781.85187589771,1750.973104680379,2531.5466000860383,3045.245989482961,0.0254558118184587,0.0434445171826389,0.0129251788545189
-31.855666425510965,815812.0390065945,669503.7441823399,57217.80881331413,15781.370073573597,7434.873417060565,30187.41914380128,23576.152259499653,1916.9850027243676,2396.596381761314,3006.622072289878,0.0036691715583343,0.0688789007892596,0.0221823642918616
-62.50174617993546,830893.065812772,716857.2772872932,59271.67562286433,15610.472132340656,5384.4553563408535,30291.366214382808,30500.440269574752,1895.1489950161076,2371.7201112716657,3024.57625451174,0.0136727382023331,0.0652807940393877,0.0218428788652097
-32.49660618866432,812996.6290229597,699227.890877598,63077.43290661528,15639.735860008092,5681.454482778597,30171.542159040702,28149.83233286362,2044.950406185042,2588.287298229513,2961.457333775412,0.0184600935009322,0.0366230262329079,0.0229254871063404
-19.385550789247077,850012.9838757614,678962.2908702815,52119.1999949187,15156.85431969198,8260.558900398504,30545.863966734654,35118.32846649455,1757.399368126406,2410.643740535031,3002.1037146397757,0.0151481622755552,0.0558266872193204,0.0188789001763384
-39.296151780315945,802417.8968162593,684561.1739844509,59131.43345950484,16131.459330375865,5695.853309313396,30109.98087525643,29223.984125401334,1790.527843664201,2364.9632636415918,2988.418710401869,0.0156702371247903,0.0593210446612051,0.0211600834134206
-36.406018473998486,804237.1804511802,747201.5613572549,62607.25951333805,15917.467169157051,2846.8429860271303,29698.645606275128,34357.65263247281,2015.4909789880355,2617.727135200385,3074.8004811418023,0.0194231222840814,0.0365309817967727,0.0118518505409376
-25.359934540637585,824393.5488027042,728470.5769486248,74395.0784265887,15760.610941856778,4615.825483123081,29816.538019745825,34860.00546141207,2479.7049964511507,2481.492592243448,2998.342135958048,0.0125130233987871,0.041577458816741,0.0130649699538833
-51.55253255775708,785661.8918636142,676751.8305842094,54408.16833765724,16004.393808123505,5623.885324127412,30016.9431222592,36307.78206373989,1734.4036280341682,2528.7903358338285,2977.588186670132,0.0226871195394911,0.0308379586318602,0.0185313905401692
-26.84954543672818,802169.2971593416,697275.0147587915,61955.61352295658,15943.397327296345,5150.745625447475,29629.44307895089,51660.35499030229,2123.4522222958794,2497.499236825007,2988.004395332864,0.0228062767716999,0.0385495094792898,0.030525639745939
-55.72430298900126,790939.4345905212,689972.5443681716,53374.31399914148,15995.615797672355,5093.194262930241,29964.96144074232,41389.840315459725,1763.6907548167865,2476.215472702273,2976.3852154250144,0.0210302801779723,0.0440628053965797,0.0208461636223593
-35.15328041160571,808387.2732466816,700411.5287900179,54936.40928264717,15576.2729270073,5472.248159539481,31303.22158675088,31419.97366373476,1846.4460145047583,2554.6489533064696,2956.305733570716,0.0402774507790906,0.0477864188424693,0.0194360542131925
-22.371235367166264,807527.5437619931,715629.6378147271,65285.91526901524,15802.920140165046,4733.788020593598,29763.422380154745,32640.62919816005,2166.5347883209247,2516.367655088158,3025.561835044188,0.0242605679176743,0.0399632546467327,0.0238935502114658
-35.09410554006608,824361.241577419,719416.8324162764,57345.31701697907,15623.642394290357,5003.672995554623,30350.936526271315,42179.65153725602,1947.8723718628853,2388.390731360317,3027.14057219794,0.0152475192102765,0.0558479748139254,0.0219186930288151
-38.95895534119828,806780.6791774334,745477.0420006937,54261.63181821805,15689.625817666789,2920.181426201019,31073.790088913625,26926.54780211563,1817.948996206325,2547.535081250772,3060.325598366356,0.0279564766123619,0.0423594658163387,0.0179714430329813
-40.76676685783794,804454.4616274198,687078.8825573521,60296.86987009545,15972.20804331353,5830.2753653811305,29366.55888365004,38610.17447197267,2161.030193350281,2353.860007584459,2983.6314735360043,0.0138565544338239,0.0602215938455052,0.0284370703035002
-34.84547292342762,789736.6446316892,725263.3413158476,53629.63714140431,16024.504381028057,3321.687350223476,30160.424900414164,28617.29006709115,1746.5765915201107,2612.206647519773,3043.458966403783,0.0182896415855931,0.0410528039708491,0.0184306662515312
-29.280553170275496,794620.9780882117,715662.3574033064,51389.2275505851,16000.165079446302,3994.0224329090415,30755.786253802155,21442.64967147972,1682.7094004110938,2503.35329003816,3049.6267289881,0.0241181995358792,0.0390603001675636,0.0255237531866162
-26.601917438140923,779733.81485092,703335.4851710203,54530.48080621591,16295.158661223157,3594.3020831443287,30345.14462877496,31723.95069094944,2014.1466446551344,2518.378287540055,3050.4513925573265,0.033783236114357,0.0405584305995108,0.0124950014614668
