chrom,filterbed,filterbed_roulette,filterbed_intergenic,filterbed_10kb_exon_buffer,filterbed_20kb_exon_buffer,filterbed_50kb_exon_buffer,filterbed_1e-4M_exon_buffer
chr1,95716121,95713858,94129747,57945384,47522634,33552488,46621839
chr2,107063193,107057841,105815689,75011364,65796419,51422679,62630015
chr3,88761242,88759736,87771347,61970347,54104684,41787722,52192933
chr4,83777656,83774637,83063387,62878427,56305993,45463270,54857336
chr5,79475183,79473794,78698143,58136263,51505999,40985921,49468728
chr6,74976742,74974753,74131893,52412319,44959799,33502800,42519159
chr7,64206861,64202440,63513566,43637583,37026840,26699132,35465684
chr8,64337433,64330609,63788302,47422360,41930835,32572766,39698737
chr9,48364008,48362915,47750878,32027236,27481442,21051725,27925086
chr10,56387503,56386321,55767210,38189758,32499288,23491444,31487078
chr11,56471773,56448600,55560102,36492465,30837841,22785022,30161208
chr12,56593074,56591831,55751703,36256720,30880075,22752334,30049743
chr13,44100422,44087697,43784850,34366367,31162114,25879269,31207476
chr14,38476379,38472153,37966849,26617658,23164361,17824107,22826662
chr15,33662150,33661562,33100346,20227491,16734562,11685474,17085400
chr16,30350861,30315151,29742880,19527289,16740026,12990061,17460919
chr17,29244568,29242311,28421836,14521022,11282596,7055228,12290660
chr18,35049318,35048745,34777863,26103094,23106841,18401725,23397424
chr19,15765761,15763523,15040945,5646439,3995045,2321945,5184581
chr20,26480284,26479660,26103363,16718399,13922093,10222641,15302118
chr21,14779702,14629599,14477248,10416375,9233031,7414624,9780225
chr22,12678232,12674367,12392408,6430135,4958636,3075614,5596167
